t,dfs,v,steer,angle,width,trackPos,ontrack
-0.982,3598.45,-0.00253624,-0.00448106,0.00822276,8.59722,0.333439,1
-0.962,3598.45,-0.00253624,-0.0250476,0.00822276,8.59722,0.333439,1
-0.942,3598.45,-0.00253624,-0.0591524,0.00822276,8.59722,0.333439,1
-0.922,3598.45,-0.00253624,-0.094238,0.00822276,8.59722,0.333439,1
-0.902,3598.45,-0.00253624,-0.134314,0.00822276,8.59722,0.333439,1
-0.882,3598.45,-0.00253624,-0.17886,0.00822276,8.59722,0.333439,1
-0.862,3598.45,-0.00253624,-0.234793,0.00822276,8.59722,0.333439,1
-0.842,3598.45,-0.00253624,-0.280195,0.00822276,8.59722,0.333439,1
-0.822,3598.45,-0.00253624,-0.327646,0.00822276,8.59722,0.333439,1
-0.802,3598.45,-0.00253624,-0.362419,0.00822276,8.59722,0.333439,1
-0.782,3598.45,-0.00253624,-0.403814,0.00822276,8.59722,0.333439,1
-0.762,3598.45,-0.00253624,-0.434029,0.00822276,8.59722,0.333439,1
-0.742,3598.45,-0.00253624,-0.452621,0.00822276,8.59722,0.333439,1
-0.722,3598.45,-0.00253624,-0.46483,0.00822276,8.59722,0.333439,1
-0.702,3598.45,-0.00253624,-0.476442,0.00822276,8.59722,0.333439,1
-0.682,3598.45,-0.00253624,-0.482436,0.00822276,8.59722,0.333439,1
-0.662,3598.45,-0.00253624,-0.474566,0.00822276,8.59722,0.333439,1
-0.642,3598.45,-0.00253624,-0.472137,0.00822276,8.59722,0.333439,1
-0.622,3598.45,-0.00253624,-0.464486,0.00822276,8.59722,0.333439,1
-0.602,3598.45,-0.00253624,-0.463589,0.00822276,8.59722,0.333439,1
-0.582,3598.45,-0.00253624,-0.459502,0.00822276,8.59722,0.333439,1
-0.562,3598.45,-0.00253624,-0.47197,0.00822276,8.59722,0.333439,1
-0.542,3598.45,-0.00253624,-0.481736,0.00822276,8.59722,0.333439,1
-0.522,3598.45,-0.00253624,-0.484085,0.00822276,8.59722,0.333439,1
-0.502,3598.45,-0.00253624,-0.489902,0.00822276,8.59722,0.333439,1
-0.482,3598.45,-0.00253624,-0.492386,0.00822276,8.59722,0.333439,1
-0.462,3598.45,-0.00253624,-0.489207,0.00822276,8.59722,0.333439,1
-0.442,3598.45,-0.00253624,-0.488951,0.00822276,8.59722,0.333439,1
-0.422,3598.45,-0.00253624,-0.480569,0.00822276,8.59722,0.333439,1
