Ep ep_000672.24 | Time 0:03.59 | Steps   220 | Reward    7908.7 | Avg(10)    7611.0 | Dist     10m (  0.3%) | Buf   0.3% | Total    1502 | End: off_track
Ep ep_000673.24 | Time 0:03.55 | Steps   218 | Reward    7779.9 | Avg(10)    7632.1 | Dist     10m (  0.3%) | Buf   0.3% | Total    1720 | End: off_track
Ep ep_000674.24 | Time 0:02.31 | Steps   162 | Reward    4370.2 | Avg(10)    7269.7 | Dist     10m (  0.3%) | Buf   0.4% | Total    1882 | End: damage
Ep ep_000675.24 | Time 0:03.63 | Steps   222 | Reward    8057.6 | Avg(10)    7348.4 | Dist     10m (  0.3%) | Buf   0.4% | Total    2104 | End: off_track
Ep ep_000676.24 | Time 0:03.79 | Steps   229 | Reward    8411.4 | Avg(10)    7448.7 | Dist     10m (  0.3%) | Buf   0.5% | Total    2333 | End: off_track
Ep ep_000677.24 | Time 0:04.54 | Steps   263 | Reward   10562.2 | Avg(10)    7580.2 | Dist     10m (  0.3%) | Buf   0.5% | Total    2596 | End: off_track
Ep ep_000678.24 | Time 0:03.22 | Steps   203 | Reward    6958.0 | Avg(10)    7597.1 | Dist     10m (  0.3%) | Buf   0.6% | Total    2799 | End: off_track
Ep ep_000679.24 | Time 0:03.63 | Steps   222 | Reward    8077.4 | Avg(10)    7453.0 | Dist     10m (  0.3%) | Buf   0.6% | Total    3021 | End: off_track
Ep ep_000680.24 | Time 0:03.50 | Steps   216 | Reward    7780.4 | Avg(10)    7662.0 | Dist     10m (  0.3%) | Buf   0.6% | Total    3237 | End: off_track
Ep ep_000681.24 | Time 0:04.36 | Steps   255 | Reward   10105.0 | Avg(10)    8001.1 | Dist     10m (  0.3%) | Buf   0.7% | Total    3492 | End: off_track
Ep ep_000682.24 | Time 0:03.88 | Steps   233 | Reward    8662.0 | Avg(10)    8076.4 | Dist     10m (  0.3%) | Buf   0.7% | Total    3725 | End: off_track
Ep ep_000683.24 | Time 0:04.21 | Steps   248 | Reward    9618.0 | Avg(10)    8260.2 | Dist     10m (  0.3%) | Buf   0.8% | Total    3973 | End: off_track
Ep ep_000684.24 | Time 0:03.99 | Steps   238 | Reward    8995.5 | Avg(10)    8722.7 | Dist     10m (  0.3%) | Buf   0.8% | Total    4211 | End: off_track
Ep ep_000685.24 | Time 0:03.04 | Steps   195 | Reward    6266.7 | Avg(10)    8543.7 | Dist     10m (  0.3%) | Buf   0.9% | Total    4406 | End: off_track
Ep ep_000686.24 | Time 0:05.24 | Steps   295 | Reward   12438.3 | Avg(10)    8946.3 | Dist     10m (  0.3%) | Buf   0.9% | Total    4701 | End: off_track
Ep ep_000687.24 | Time 0:02.82 | Steps   185 | Reward    5920.8 | Avg(10)    8482.2 | Dist     10m (  0.3%) | Buf   1.0% | Total    4886 | End: damage
Ep ep_000688.24 | Time 0:17.49 | Steps   888 | Reward   47956.2 | Avg(10)   12582.0 | Dist     10m (  0.3%) | Buf   1.2% | Total    5774 | End: off_track
