Ep ep_000264.15 | Time 0:18.19 | Steps   920 | Reward   41407.0 | Avg(10)  144121.6 | Dist     10m (  0.3%) | Buf  65.5% | Total 1044037 | End: off_track
Ep ep_000265.15 | Time 2:22.98 | Steps  6806 | Reward  335288.6 | Avg(10)  173637.4 | Dist   2999m ( 96.8%) | Buf  66.8% | Total 1050843 | End: finished
Ep ep_000266.15 | Time 0:17.44 | Steps   886 | Reward   39662.2 | Avg(10)  159048.1 | Dist     10m (  0.3%) | Buf  67.0% | Total 1051729 | End: off_track
Ep ep_000267.15 | Time 1:24.84 | Steps  4095 | Reward  200101.9 | Avg(10)  160586.3 | Dist   1983m ( 64.0%) | Buf  67.8% | Total 1055824 | End: off_track
Ep ep_000268.15 | Time 0:18.04 | Steps   913 | Reward   40990.4 | Avg(10)  146527.4 | Dist     10m (  0.3%) | Buf  68.0% | Total 1056737 | End: off_track
Ep ep_000269.15 | Time 1:21.15 | Steps  3927 | Reward  189680.3 | Avg(10)  146535.4 | Dist   1916m ( 61.8%) | Buf  68.8% | Total 1060664 | End: off_track
Ep ep_000270.15 | Time 0:28.16 | Steps  1373 | Reward   64041.8 | Avg(10)  133936.3 | Dist    282m (  9.1%) | Buf  69.1% | Total 1062037 | End: off_track
Ep ep_000271.15 | Time 0:29.30 | Steps  1425 | Reward   66702.4 | Avg(10)  136522.2 | Dist    282m (  9.1%) | Buf  69.4% | Total 1063462 | End: off_track
Ep ep_000272.15 | Time 0:28.40 | Steps  1384 | Reward   64741.0 | Avg(10)  123385.3 | Dist    280m (  9.0%) | Buf  69.6% | Total 1064846 | End: off_track
Ep ep_000273.15 | Time 2:00.46 | Steps  5714 | Reward  278806.5 | Avg(10)  132142.2 | Dist   2804m ( 90.5%) | Buf  70.8% | Total 1070560 | End: off_track
Ep ep_000274.15 | Time 0:28.09 | Steps  1370 | Reward   64069.8 | Avg(10)  134408.5 | Dist    274m (  8.8%) | Buf  71.1% | Total 1071930 | End: off_track
Ep ep_000275.15 | Time 0:27.50 | Steps  1343 | Reward   62725.7 | Avg(10)  107152.2 | Dist    272m (  8.8%) | Buf  71.3% | Total 1073273 | End: off_track
Ep ep_000276.15 | Time 0:26.48 | Steps  1297 | Reward   60417.4 | Avg(10)  109227.7 | Dist    273m (  8.8%) | Buf  71.6% | Total 1074570 | End: off_track
Ep ep_000277.15 | Time 0:28.18 | Steps  1374 | Reward   64320.8 | Avg(10)   95649.6 | Dist    281m (  9.1%) | Buf  71.9% | Total 1075944 | End: off_track
Ep ep_000278.15 | Time 0:29.12 | Steps  1417 | Reward   66400.1 | Avg(10)   98190.6 | Dist    277m (  8.9%) | Buf  72.1% | Total 1077361 | End: off_track
  [ai-swap] loaded models/episodes/ep_000234.15 | new branch=16 | next=ep_000235.16
Ep ep_000235.16 | Time 1:19.74 | Steps  3863 | Reward  188732.3 | Avg(10)  188732.3 | Dist   1968m ( 63.5%) | Buf   0.8% | Total 1081224 | End: off_track
Ep ep_000236.16 | Time 1:13.71 | Steps  3589 | Reward  175064.8 | Avg(10)  181898.6 | Dist   1751m ( 56.5%) | Buf   1.5% | Total 1084813 | End: off_track
Ep ep_000237.16 | Time 1:22.36 | Steps  3982 | Reward  193908.6 | Avg(10)  185901.9 | Dist   1859m ( 60.0%) | Buf   2.3% | Total 1088795 | End: off_track
Ep ep_000238.16 | Time 1:24.03 | Steps  4058 | Reward  197917.3 | Avg(10)  188905.7 | Dist   1955m ( 63.1%) | Buf   3.1% | Total 1092853 | End: off_track
Ep ep_000239.16 | Time 1:19.23 | Steps  3840 | Reward  187344.8 | Avg(10)  188593.6 | Dist   1954m ( 63.0%) | Buf   3.9% | Total 1096693 | End: off_track
Ep ep_000240.16 | Time 2:02.33 | Steps  5800 | Reward  289742.4 | Avg(10)  205451.7 | Dist   2999m ( 96.8%) | Buf   5.0% | Total 1102493 | End: finished
Ep ep_000241.16 | Time 0:15.71 | Steps   806 | Reward   35757.3 | Avg(10)  181209.6 | Dist     10m (  0.3%) | Buf   5.2% | Total 1103299 | End: off_track
