Ep ep_000598.20 | Time 1:38.77 | Steps  4728 | Reward  231543.1 | Avg(10)  233447.8 | Dist   1973m ( 63.7%) | Buf  86.0% | Total  429924 | End: off_track
Ep ep_000599.20 | Time 1:38.68 | Steps  4724 | Reward  231232.0 | Avg(10)  240563.3 | Dist   1973m ( 63.6%) | Buf  86.9% | Total  434648 | End: off_track
Ep ep_000600.20 | Time 1:41.36 | Steps  4846 | Reward  237234.8 | Avg(10)  241504.9 | Dist   1971m ( 63.6%) | Buf  87.9% | Total  439494 | End: off_track
Ep ep_000601.20 | Time 1:42.99 | Steps  4920 | Reward  240950.7 | Avg(10)  242577.2 | Dist   1970m ( 63.6%) | Buf  88.9% | Total  444414 | End: off_track
Ep ep_000602.20 | Time 1:43.50 | Steps  4943 | Reward  242204.9 | Avg(10)  243506.0 | Dist   1973m ( 63.6%) | Buf  89.9% | Total  449357 | End: off_track
Ep ep_000603.20 | Time 1:45.32 | Steps  5026 | Reward  246194.4 | Avg(10)  244322.1 | Dist   1974m ( 63.7%) | Buf  90.9% | Total  454383 | End: off_track
Ep ep_000604.20 | Time 1:45.79 | Steps  5047 | Reward  247805.2 | Avg(10)  241978.1 | Dist   1980m ( 63.9%) | Buf  91.9% | Total  459430 | End: off_track
Ep ep_000605.20 | Time 1:44.25 | Steps  4977 | Reward  244071.4 | Avg(10)  239648.3 | Dist   1973m ( 63.6%) | Buf  92.9% | Total  464407 | End: off_track
Ep ep_000606.20 | Time 1:42.75 | Steps  4909 | Reward  240854.6 | Avg(10)  240082.1 | Dist   1973m ( 63.6%) | Buf  93.9% | Total  469316 | End: off_track
Ep ep_000607.20 | Time 0:02.62 | Steps   176 | Reward    2182.0 | Avg(10)  216427.3 | Dist     10m (  0.3%) | Buf  93.9% | Total  469492 | End: too_slow
Ep ep_000608.20 | Time 1:47.24 | Steps  5113 | Reward  248334.9 | Avg(10)  218106.5 | Dist   1977m ( 63.8%) | Buf  94.9% | Total  474605 | End: off_track
Ep ep_000609.20 | Time 0:02.38 | Steps   165 | Reward    1756.5 | Avg(10)  195158.9 | Dist     10m (  0.3%) | Buf  95.0% | Total  474770 | End: too_slow
Ep ep_000610.20 | Time 0:02.38 | Steps   165 | Reward    1750.6 | Avg(10)  171610.5 | Dist     10m (  0.3%) | Buf  95.0% | Total  474935 | End: too_slow
Ep ep_000611.20 | Time 1:56.76 | Steps  5546 | Reward  247197.9 | Avg(10)  172235.2 | Dist   1972m ( 63.6%) | Buf  96.1% | Total  480481 | End: off_track
Ep ep_000612.20 | Time 1:58.50 | Steps  5625 | Reward  257702.6 | Avg(10)  173785.0 | Dist   1974m ( 63.7%) | Buf  97.2% | Total  486106 | End: off_track
Ep ep_000613.20 | Time 1:49.15 | Steps  5200 | Reward  255031.3 | Avg(10)  174668.7 | Dist   1974m ( 63.7%) | Buf  98.3% | Total  491306 | End: off_track
Ep ep_000614.20 | Time 1:52.45 | Steps  5350 | Reward  263045.6 | Avg(10)  176192.7 | Dist   1978m ( 63.8%) | Buf  99.3% | Total  496656 | End: off_track
Ep ep_000615.20 | Time 2:34.23 | Steps  7368 | Reward  359219.4 | Avg(10)  187707.5 | Dist   2775m ( 89.5%) | Buf 100.0% | Total  504024 | End: off_track
Ep ep_000616.20 | Time 2:53.23 | Steps  8318 | Reward  377068.8 | Avg(10)  201328.9 | Dist   2776m ( 89.5%) | Buf 100.0% | Total  512342 | End: off_track
Ep ep_000617.20 | Time 2:51.65 | Steps  8239 | Reward  339448.6 | Avg(10)  235055.6 | Dist   2273m ( 73.3%) | Buf 100.0% | Total  520581 | End: off_track
Ep ep_000618.20 | Time 2:36.07 | Steps  7460 | Reward  341845.9 | Avg(10)  244406.7 | Dist   2274m ( 73.4%) | Buf 100.0% | Total  528041 | End: off_track
Ep ep_000619.20 | Time 2:38.51 | Steps  7582 | Reward  358008.4 | Avg(10)  280031.9 | Dist   2280m ( 73.5%) | Buf 100.0% | Total  535623 | End: off_track
Ep ep_000620.20 | Time 2:41.47 | Steps  7730 | Reward  358578.4 | Avg(10)  315714.7 | Dist   2275m ( 73.4%) | Buf 100.0% | Total  543353 | End: off_track
Ep ep_000621.20 | Time 2:41.31 | Steps  7722 | Reward  359492.0 | Avg(10)  326944.1 | Dist   2274m ( 73.3%) | Buf 100.0% | Total  551075 | End: off_track
Ep ep_000622.20 | Time 2:14.97 | Steps  6405 | Reward  302620.8 | Avg(10)  331435.9 | Dist   1894m ( 61.1%) | Buf 100.0% | Total  557480 | End: too_slow
Ep ep_000623.20 | Time 2:35.91 | Steps  7452 | Reward  363608.7 | Avg(10)  342293.7 | Dist   2275m ( 73.4%) | Buf 100.0% | Total  564932 | End: off_track
Ep ep_000624.20 | Time 2:31.61 | Steps  7237 | Reward  356123.6 | Avg(10)  351601.5 | Dist   2273m ( 73.3%) | Buf 100.0% | Total  572169 | End: off_track
Ep ep_000625.20 | Time 2:13.49 | Steps  6331 | Reward  310701.6 | Avg(10)  346749.7 | Dist   1992m ( 64.3%) | Buf 100.0% | Total  578500 | End: off_track
Ep ep_000626.20 | Time 2:55.51 | Steps  8432 | Reward  415745.2 | Avg(10)  350617.3 | Dist   2784m ( 89.8%) | Buf 100.0% | Total  586932 | End: off_track
Ep ep_000627.20 | Time 3:13.76 | Steps  9345 | Reward  466844.4 | Avg(10)  363356.9 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  596277 | End: finished
Ep ep_000628.20 | Time 2:34.43 | Steps  7378 | Reward  360827.6 | Avg(10)  365255.1 | Dist   2269m ( 73.2%) | Buf 100.0% | Total  603655 | End: off_track
Ep ep_000629.20 | Time 3:09.50 | Steps  9132 | Reward  456681.0 | Avg(10)  375122.3 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  612787 | End: finished
Ep ep_000630.20 | Time 2:27.99 | Steps  7056 | Reward  347996.9 | Avg(10)  374064.2 | Dist   2275m ( 73.4%) | Buf 100.0% | Total  619843 | End: off_track
Ep ep_000631.20 | Time 3:02.62 | Steps  8788 | Reward  439836.7 | Avg(10)  382098.7 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  628631 | End: finished
Ep ep_000632.20 | Time 2:59.29 | Steps  8622 | Reward  431381.3 | Avg(10)  394974.7 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  637253 | End: finished
Ep ep_000633.20 | Time 2:55.93 | Steps  8454 | Reward  423155.7 | Avg(10)  400929.4 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  645707 | End: finished
Ep ep_000634.20 | Time 2:53.14 | Steps  8314 | Reward  415971.7 | Avg(10)  406914.2 | Dist   3000m ( 96.8%) | Buf 100.0% | Total  654021 | End: finished
Ep ep_000635.20 | Time 2:18.45 | Steps  6579 | Reward  324142.1 | Avg(10)  408258.3 | Dist   2399m ( 77.4%) | Buf 100.0% | Total  660600 | End: off_track
Ep ep_000636.20 | Time 2:08.67 | Steps  6090 | Reward  300037.1 | Avg(10)  396687.5 | Dist   2273m ( 73.3%) | Buf 100.0% | Total  666690 | End: off_track
Ep ep_000637.20 | Time 1:57.60 | Steps  5584 | Reward  272794.1 | Avg(10)  377282.4 | Dist   2026m ( 65.4%) | Buf 100.0% | Total  672274 | End: off_track
Ep ep_000638.20 | Time 2:08.21 | Steps  6067 | Reward  298884.4 | Avg(10)  371088.1 | Dist   2274m ( 73.4%) | Buf 100.0% | Total  678341 | End: off_track
Ep ep_000639.20 | Time 2:27.69 | Steps  7041 | Reward  346175.2 | Avg(10)  360037.5 | Dist   2779m ( 89.7%) | Buf 100.0% | Total  685382 | End: off_track
Ep ep_000640.20 | Time 2:28.17 | Steps  7065 | Reward  347819.3 | Avg(10)  360019.8 | Dist   2773m ( 89.5%) | Buf 100.0% | Total  692447 | End: off_track
Ep ep_000641.20 | Time 2:32.03 | Steps  7258 | Reward  357310.2 | Avg(10)  351767.1 | Dist   2766m ( 89.2%) | Buf 100.0% | Total  699705 | End: off_track
Ep ep_000642.20 | Time 2:32.93 | Steps  7303 | Reward  359558.9 | Avg(10)  344584.9 | Dist   2770m ( 89.3%) | Buf 100.0% | Total  707008 | End: off_track
Ep ep_000643.20 | Time 2:36.99 | Steps  7506 | Reward  369770.2 | Avg(10)  339246.3 | Dist   2771m ( 89.4%) | Buf 100.0% | Total  714514 | End: off_track
Ep ep_000644.20 | Time 2:38.29 | Steps  7571 | Reward  372868.5 | Avg(10)  334936.0 | Dist   2770m ( 89.3%) | Buf 100.0% | Total  722085 | End: off_track
Ep ep_000645.20 | Time 2:37.21 | Steps  7517 | Reward  370465.6 | Avg(10)  339568.4 | Dist   2778m ( 89.6%) | Buf 100.0% | Total  729602 | End: off_track
Ep ep_000646.20 | Time 2:40.21 | Steps  7667 | Reward  378352.8 | Avg(10)  347399.9 | Dist   2789m ( 90.0%) | Buf 100.0% | Total  737269 | End: off_track
Ep ep_000647.20 | Time 2:45.15 | Steps  7914 | Reward  389277.4 | Avg(10)  359048.2 | Dist   2775m ( 89.5%) | Buf 100.0% | Total  745183 | End: off_track
  [ai-swap] loaded models/episodes/ep_000634.20 | new branch=21 | next=ep_000635.21
Ep ep_000635.21 | Time 2:12.49 | Steps  6281 | Reward  309421.0 | Avg(10)  309421.0 | Dist   2274m ( 73.4%) | Buf   1.3% | Total  751464 | End: off_track
Ep ep_000636.21 | Time 2:28.25 | Steps  7069 | Reward  347914.6 | Avg(10)  328667.8 | Dist   2272m ( 73.3%) | Buf   2.7% | Total  758533 | End: off_track
