Ep ep_000429.18 | Time 1:42.68 | Steps  4906 | Reward  239134.0 | Avg(10)  127552.2 | Dist   2094m ( 65.4%) | Buf   6.6% | Total   33069 | End: damage
Ep ep_000430.18 | Time 1:45.81 | Steps  5048 | Reward  247256.0 | Avg(10)  149842.6 | Dist   2066m ( 64.6%) | Buf   7.6% | Total   38117 | End: off_track
Ep ep_000431.18 | Time 1:44.11 | Steps  4971 | Reward  243834.8 | Avg(10)  173950.9 | Dist   2082m ( 65.1%) | Buf   8.6% | Total   43088 | End: off_track
  [track] length measured by TORCS sensor: 3100m
Ep ep_000432.18 | Time 2:55.67 | Steps  8441 | Reward  418897.5 | Avg(10)  212526.1 | Dist   3100m (100.0%) | Buf  10.3% | Total   51529 | End: finished
Ep ep_000433.18 | Time 2:03.87 | Steps  5869 | Reward  286876.1 | Avg(10)  214315.1 | Dist   1985m ( 64.0%) | Buf  11.5% | Total   57398 | End: too_slow
Ep ep_000434.18 | Time 1:45.57 | Steps  5037 | Reward  247082.7 | Avg(10)  223830.6 | Dist   1718m ( 55.4%) | Buf  12.5% | Total   62435 | End: off_track
Ep ep_000435.18 | Time 2:00.79 | Steps  5729 | Reward  280281.7 | Avg(10)  244230.4 | Dist   1983m ( 64.0%) | Buf  13.6% | Total   68164 | End: too_slow
Ep ep_000436.18 | Time 2:54.72 | Steps  8393 | Reward  413187.5 | Avg(10)  278098.3 | Dist   2999m ( 96.8%) | Buf  15.3% | Total   76557 | End: finished
Ep ep_000437.18 | Time 2:00.09 | Steps  5697 | Reward  278949.2 | Avg(10)  298488.2 | Dist   1984m ( 64.0%) | Buf  16.5% | Total   82254 | End: too_slow
Ep ep_000438.18 | Time 2:51.14 | Steps  8214 | Reward  408830.5 | Avg(10)  306433.0 | Dist   2999m ( 96.8%) | Buf  18.1% | Total   90468 | End: finished
Ep ep_000439.18 | Time 2:45.52 | Steps  7933 | Reward  397062.0 | Avg(10)  322225.8 | Dist   3000m ( 96.8%) | Buf  19.7% | Total   98401 | End: finished
Ep ep_000440.18 | Time 1:52.30 | Steps  5343 | Reward  261616.3 | Avg(10)  323661.8 | Dist   1987m ( 64.1%) | Buf  20.7% | Total  103744 | End: too_slow
Ep ep_000441.18 | Time 2:02.51 | Steps  5807 | Reward  284153.2 | Avg(10)  327693.7 | Dist   1987m ( 64.1%) | Buf  21.9% | Total  109551 | End: too_slow
Ep ep_000442.18 | Time 0:38.13 | Steps  1854 | Reward   88344.0 | Avg(10)  294638.3 | Dist    250m (  8.1%) | Buf  22.3% | Total  111405 | End: off_track
Ep ep_000443.18 | Time 0:41.69 | Steps  2032 | Reward   97224.0 | Avg(10)  275673.1 | Dist    278m (  9.0%) | Buf  22.7% | Total  113437 | End: off_track
Ep ep_000444.18 | Time 0:36.57 | Steps  1776 | Reward   78469.0 | Avg(10)  258811.7 | Dist    199m (  6.4%) | Buf  23.0% | Total  115213 | End: too_slow
Ep ep_000445.18 | Time 1:14.94 | Steps  3645 | Reward  175141.5 | Avg(10)  248297.7 | Dist    998m ( 32.2%) | Buf  23.8% | Total  118858 | End: too_slow
Ep ep_000446.18 | Time 3:11.34 | Steps  9224 | Reward  461258.2 | Avg(10)  253104.8 | Dist   2999m ( 96.8%) | Buf  25.6% | Total  128082 | End: finished
Ep ep_000447.18 | Time 3:15.85 | Steps  9450 | Reward  470629.9 | Avg(10)  272272.9 | Dist   2999m ( 96.8%) | Buf  27.5% | Total  137532 | End: finished
Ep ep_000448.18 | Time 2:09.39 | Steps  6126 | Reward  300334.6 | Avg(10)  261423.3 | Dist   1936m ( 62.5%) | Buf  28.7% | Total  143658 | End: off_track
Ep ep_000449.18 | Time 2:05.98 | Steps  5965 | Reward  291881.6 | Avg(10)  250905.2 | Dist   1984m ( 64.0%) | Buf  29.9% | Total  149623 | End: off_track
Ep ep_000450.18 | Time 1:57.62 | Steps  5585 | Reward  273330.5 | Avg(10)  252076.7 | Dist   1992m ( 64.3%) | Buf  31.0% | Total  155208 | End: damage
Ep ep_000451.18 | Time 1:54.34 | Steps  5436 | Reward  266722.8 | Avg(10)  250333.6 | Dist   1980m ( 63.9%) | Buf  32.1% | Total  160644 | End: off_track
Ep ep_000452.18 | Time 1:57.95 | Steps  5600 | Reward  275124.8 | Avg(10)  269011.7 | Dist   1979m ( 63.8%) | Buf  33.2% | Total  166244 | End: off_track
Ep ep_000453.18 | Time 2:02.33 | Steps  5799 | Reward  285338.9 | Avg(10)  287823.2 | Dist   1975m ( 63.7%) | Buf  34.4% | Total  172043 | End: off_track
Ep ep_000454.18 | Time 2:00.24 | Steps  5704 | Reward  280741.9 | Avg(10)  308050.5 | Dist   1976m ( 63.8%) | Buf  35.5% | Total  177747 | End: off_track
Ep ep_000455.18 | Time 2:08.93 | Steps  6103 | Reward  300372.5 | Avg(10)  320573.6 | Dist   1977m ( 63.8%) | Buf  36.8% | Total  183850 | End: off_track
Ep ep_000456.18 | Time 2:08.71 | Steps  6092 | Reward  294262.1 | Avg(10)  303874.0 | Dist   1745m ( 56.3%) | Buf  38.0% | Total  189942 | End: too_slow
Ep ep_000457.18 | Time 3:07.54 | Steps  9034 | Reward  449702.1 | Avg(10)  301781.2 | Dist   2999m ( 96.8%) | Buf  39.8% | Total  198976 | End: finished
Ep ep_000458.18 | Time 2:00.64 | Steps  5722 | Reward  279925.5 | Avg(10)  299740.3 | Dist   1989m ( 64.2%) | Buf  40.9% | Total  204698 | End: too_slow
Ep ep_000459.18 | Time 2:48.55 | Steps  8084 | Reward  395504.2 | Avg(10)  310102.5 | Dist   2787m ( 89.9%) | Buf  42.6% | Total  212782 | End: off_track
Ep ep_000460.18 | Time 1:44.31 | Steps  4980 | Reward  241468.6 | Avg(10)  306916.3 | Dist   1468m ( 47.4%) | Buf  43.6% | Total  217762 | End: too_slow
Ep ep_000461.18 | Time 0:26.37 | Steps  1292 | Reward   60050.4 | Avg(10)  286249.1 | Dist     10m (  0.3%) | Buf  43.8% | Total  219054 | End: off_track
Ep ep_000462.18 | Time 1:53.40 | Steps  5393 | Reward  263531.1 | Avg(10)  285089.7 | Dist   1885m ( 60.8%) | Buf  44.9% | Total  224447 | End: off_track
Ep ep_000463.18 | Time 0:23.98 | Steps  1183 | Reward   54309.2 | Avg(10)  261986.8 | Dist     10m (  0.3%) | Buf  45.1% | Total  225630 | End: off_track
Ep ep_000464.18 | Time 0:24.09 | Steps  1188 | Reward   54772.0 | Avg(10)  239389.8 | Dist     10m (  0.3%) | Buf  45.4% | Total  226818 | End: off_track
