Ep ep_000099 | Time 0:05.94 | Steps   327 | Reward   11051.9 | Avg(10)   18936.6 | Dist     10m (  0.3%) | Buf  13.1% | Total   65591 | End: off_track
Ep ep_000100 | Time 0:06.10 | Steps   334 | Reward   11420.0 | Avg(10)   17968.3 | Dist     10m (  0.3%) | Buf  13.2% | Total   65925 | End: off_track
Ep ep_000101 | Time 0:05.64 | Steps   313 | Reward   10359.8 | Avg(10)   17121.5 | Dist     10m (  0.3%) | Buf  13.2% | Total   66238 | End: off_track
Ep ep_000102 | Time 0:06.93 | Steps   372 | Reward   13274.3 | Avg(10)   16568.6 | Dist     10m (  0.3%) | Buf  13.3% | Total   66610 | End: off_track
Ep ep_000103 | Time 0:09.11 | Steps   476 | Reward   18498.0 | Avg(10)   17243.5 | Dist     10m (  0.3%) | Buf  13.4% | Total   67086 | End: off_track
Ep ep_000104 | Time 0:05.92 | Steps   326 | Reward   10994.0 | Avg(10)   15792.3 | Dist     10m (  0.3%) | Buf  13.5% | Total   67412 | End: off_track
Ep ep_000105 | Time 0:06.23 | Steps   340 | Reward   11644.2 | Avg(10)   15165.6 | Dist     10m (  0.3%) | Buf  13.6% | Total   67752 | End: off_track
Ep ep_000106 | Time 0:06.01 | Steps   330 | Reward   11117.7 | Avg(10)   13483.3 | Dist     10m (  0.3%) | Buf  13.6% | Total   68082 | End: off_track
Ep ep_000107 | Time 0:06.49 | Steps   352 | Reward   12189.1 | Avg(10)   12892.9 | Dist     10m (  0.3%) | Buf  13.7% | Total   68434 | End: off_track
Ep ep_000108 | Time 0:12.39 | Steps   640 | Reward   26583.7 | Avg(10)   13713.3 | Dist     10m (  0.3%) | Buf  13.8% | Total   69074 | End: off_track
Ep ep_000109 | Time 0:06.03 | Steps   331 | Reward   11129.4 | Avg(10)   13721.0 | Dist     10m (  0.3%) | Buf  13.9% | Total   69405 | End: off_track
Ep ep_000110 | Time 0:05.92 | Steps   326 | Reward   10850.7 | Avg(10)   13664.1 | Dist     10m (  0.3%) | Buf  13.9% | Total   69731 | End: off_track
  [ai-swap] loaded models/episodes/ep_000053 | new branch=1 | next=ep_000054.1
Ep ep_000054.1 | Time 0:16.74 | Steps   854 | Reward   38327.1 | Avg(10)   38327.1 | Dist    111m (  3.5%) | Buf   0.2% | Total   70585 | End: off_track
Ep ep_000055.1 | Time 0:17.84 | Steps   904 | Reward   40916.8 | Avg(10)   39622.0 | Dist    131m (  4.1%) | Buf   0.4% | Total   71489 | End: off_track
Ep ep_000056.1 | Time 0:16.83 | Steps   858 | Reward   38568.8 | Avg(10)   39270.9 | Dist    111m (  3.5%) | Buf   0.5% | Total   72347 | End: off_track
Ep ep_000057.1 | Time 0:17.62 | Steps   894 | Reward   40137.1 | Avg(10)   39487.4 | Dist    111m (  3.5%) | Buf   0.7% | Total   73241 | End: off_track
Ep ep_000058.1 | Time 0:18.21 | Steps   921 | Reward   41697.8 | Avg(10)   39929.5 | Dist    129m (  4.0%) | Buf   0.9% | Total   74162 | End: off_track
Ep ep_000059.1 | Time 0:52.15 | Steps  2555 | Reward  123428.9 | Avg(10)   53846.1 | Dist   1308m ( 40.9%) | Buf   1.4% | Total   76717 | End: off_track
Ep ep_000060.1 | Time 0:16.76 | Steps   855 | Reward   38234.4 | Avg(10)   51615.8 | Dist     58m (  1.8%) | Buf   1.6% | Total   77572 | End: off_track
Ep ep_000061.1 | Time 0:15.53 | Steps   797 | Reward   35669.5 | Avg(10)   49622.5 | Dist     71m (  2.2%) | Buf   1.7% | Total   78369 | End: off_track
Ep ep_000062.1 | Time 0:03.94 | Steps   236 | Reward    7636.3 | Avg(10)   44957.4 | Dist     10m (  0.3%) | Buf   1.8% | Total   78605 | End: off_track
Ep ep_000063.1 | Time 0:22.74 | Steps  1127 | Reward   52042.8 | Avg(10)   45665.9 | Dist    346m ( 10.8%) | Buf   2.0% | Total   79732 | End: off_track
Ep ep_000064.1 | Time 0:14.09 | Steps   725 | Reward   32067.5 | Avg(10)   45040.0 | Dist     43m (  1.3%) | Buf   2.1% | Total   80457 | End: off_track
Ep ep_000065.1 | Time 0:25.38 | Steps  1247 | Reward   57700.2 | Avg(10)   46718.3 | Dist    357m ( 11.1%) | Buf   2.4% | Total   81704 | End: off_track
Ep ep_000066.1 | Time 0:15.47 | Steps   794 | Reward   35359.1 | Avg(10)   46397.4 | Dist     60m (  1.9%) | Buf   2.6% | Total   82498 | End: off_track
Ep ep_000067.1 | Time 0:15.31 | Steps   786 | Reward   35109.0 | Avg(10)   45894.6 | Dist     58m (  1.8%) | Buf   2.7% | Total   83284 | End: off_track
Ep ep_000068.1 | Time 0:16.14 | Steps   827 | Reward   36804.3 | Avg(10)   45405.2 | Dist     55m (  1.7%) | Buf   2.9% | Total   84111 | End: off_track
Ep ep_000069.1 | Time 0:15.07 | Steps   774 | Reward   34316.0 | Avg(10)   36493.9 | Dist     59m (  1.8%) | Buf   3.0% | Total   84885 | End: off_track
Ep ep_000070.1 | Time 0:15.57 | Steps   799 | Reward   35833.0 | Avg(10)   36253.8 | Dist     58m (  1.8%) | Buf   3.2% | Total   85684 | End: off_track
Ep ep_000071.1 | Time 0:14.35 | Steps   738 | Reward   32785.5 | Avg(10)   35965.4 | Dist     56m (  1.7%) | Buf   3.3% | Total   86422 | End: off_track
Ep ep_000072.1 | Time 0:15.49 | Steps   795 | Reward   35619.3 | Avg(10)   38763.7 | Dist     56m (  1.8%) | Buf   3.5% | Total   87217 | End: off_track
Ep ep_000073.1 | Time 0:15.65 | Steps   803 | Reward   35868.0 | Avg(10)   37146.2 | Dist     42m (  1.3%) | Buf   3.7% | Total   88020 | End: off_track
Ep ep_000074.1 | Time 0:14.41 | Steps   741 | Reward   32888.5 | Avg(10)   37228.3 | Dist     61m (  1.9%) | Buf   3.8% | Total   88761 | End: off_track
Ep ep_000075.1 | Time 0:13.83 | Steps   712 | Reward   31434.7 | Avg(10)   34601.8 | Dist     44m (  1.4%) | Buf   3.9% | Total   89473 | End: off_track
Ep ep_000076.1 | Time 0:47.29 | Steps  2312 | Reward  111442.0 | Avg(10)   42210.0 | Dist   1254m ( 39.2%) | Buf   4.4% | Total   91785 | End: off_track
Ep ep_000077.1 | Time 0:50.55 | Steps  2475 | Reward  119162.3 | Avg(10)   50615.4 | Dist   1318m ( 41.2%) | Buf   4.9% | Total   94260 | End: off_track
Ep ep_000078.1 | Time 0:51.01 | Steps  2498 | Reward  120606.3 | Avg(10)   58995.6 | Dist   1355m ( 42.3%) | Buf   5.4% | Total   96758 | End: off_track
Ep ep_000079.1 | Time 1:06.41 | Steps  3257 | Reward  158594.7 | Avg(10)   71423.4 | Dist   1832m ( 57.2%) | Buf   6.1% | Total  100015 | End: off_track
Ep ep_000080.1 | Time 0:56.23 | Steps  2759 | Reward  132984.0 | Avg(10)   81138.5 | Dist   1580m ( 49.4%) | Buf   6.6% | Total  102774 | End: off_track
Ep ep_000081.1 | Time 0:56.49 | Steps  2772 | Reward  134238.9 | Avg(10)   91283.9 | Dist   1552m ( 48.5%) | Buf   7.2% | Total  105546 | End: off_track
Ep ep_000082.1 | Time 0:58.15 | Steps  2855 | Reward  138360.9 | Avg(10)  101558.0 | Dist   1693m ( 52.9%) | Buf   7.7% | Total  108401 | End: off_track
Ep ep_000083.1 | Time 1:02.55 | Steps  3075 | Reward  149581.8 | Avg(10)  112929.4 | Dist   1748m ( 54.6%) | Buf   8.3% | Total  111476 | End: off_track
Ep ep_000084.1 | Time 0:55.27 | Steps  2711 | Reward  130790.9 | Avg(10)  122719.6 | Dist   1277m ( 39.9%) | Buf   8.9% | Total  114187 | End: off_track
Ep ep_000085.1 | Time 0:02.45 | Steps   168 | Reward    3602.9 | Avg(10)  119936.5 | Dist     10m (  0.3%) | Buf   8.9% | Total  114355 | End: damage
Ep ep_000086.1 | Time 0:12.61 | Steps   651 | Reward   28392.0 | Avg(10)  111631.5 | Dist     10m (  0.3%) | Buf   9.1% | Total  115006 | End: off_track
Ep ep_000087.1 | Time 0:23.36 | Steps  1155 | Reward   53590.7 | Avg(10)  105074.3 | Dist    329m ( 10.3%) | Buf   9.3% | Total  116161 | End: off_track
Ep ep_000088.1 | Time 0:13.75 | Steps   708 | Reward   30562.6 | Avg(10)   96069.9 | Dist     10m (  0.3%) | Buf   9.4% | Total  116869 | End: off_track
Ep ep_000089.1 | Time 0:02.27 | Steps   160 | Reward    3217.7 | Avg(10)   80532.2 | Dist     10m (  0.3%) | Buf   9.5% | Total  117029 | End: damage
Ep ep_000090.1 | Time 0:14.39 | Steps   740 | Reward   32221.4 | Avg(10)   70456.0 | Dist     12m (  0.4%) | Buf   9.6% | Total  117769 | End: off_track
Ep ep_000091.1 | Time 0:02.16 | Steps   155 | Reward    3013.0 | Avg(10)   57333.4 | Dist     10m (  0.3%) | Buf   9.6% | Total  117924 | End: damage
Ep ep_000092.1 | Time 0:14.47 | Steps   744 | Reward   32866.6 | Avg(10)   46784.0 | Dist     19m (  0.6%) | Buf   9.8% | Total  118668 | End: off_track
Ep ep_000093.1 | Time 0:02.20 | Steps   157 | Reward    3012.4 | Avg(10)   32127.0 | Dist     10m (  0.3%) | Buf   9.8% | Total  118825 | End: damage
Ep ep_000094.1 | Time 0:49.39 | Steps  2417 | Reward  116671.7 | Avg(10)   30715.1 | Dist   1180m ( 36.9%) | Buf  10.3% | Total  121242 | End: off_track
Ep ep_000095.1 | Time 1:28.93 | Steps  4281 | Reward  194812.3 | Avg(10)   49836.0 | Dist   2078m ( 64.9%) | Buf  11.2% | Total  125523 | End: too_slow
  [ai-swap] loaded models/episodes/ep_000083.1 | new branch=2 | next=ep_000084.2
Ep ep_000084.2 | Time 0:34.81 | Steps  1688 | Reward   80238.5 | Avg(10)   80238.5 | Dist    648m ( 20.2%) | Buf   0.3% | Total  127211 | End: off_track
Ep ep_000085.2 | Time 1:25.48 | Steps  4124 | Reward  200116.7 | Avg(10)  140177.6 | Dist   2047m ( 64.0%) | Buf   1.2% | Total  131335 | End: off_track
Ep ep_000086.2 | Time 0:14.29 | Steps   735 | Reward   32467.8 | Avg(10)  104274.3 | Dist     10m (  0.3%) | Buf   1.3% | Total  132070 | End: off_track
Ep ep_000087.2 | Time 0:13.71 | Steps   706 | Reward   31076.7 | Avg(10)   85974.9 | Dist     10m (  0.3%) | Buf   1.5% | Total  132776 | End: off_track
Ep ep_000088.2 | Time 0:11.63 | Steps   602 | Reward   25895.7 | Avg(10)   73959.1 | Dist     10m (  0.3%) | Buf   1.6% | Total  133378 | End: off_track
Ep ep_000089.2 | Time 0:11.89 | Steps   615 | Reward   26548.4 | Avg(10)   66057.3 | Dist     10m (  0.3%) | Buf   1.7% | Total  133993 | End: off_track
Ep ep_000090.2 | Time 0:25.38 | Steps  1247 | Reward   58140.6 | Avg(10)   64926.4 | Dist    329m ( 10.3%) | Buf   1.9% | Total  135240 | End: off_track
Ep ep_000091.2 | Time 0:26.55 | Steps  1300 | Reward   60761.2 | Avg(10)   64405.7 | Dist    335m ( 10.5%) | Buf   2.2% | Total  136540 | End: off_track
Ep ep_000092.2 | Time 0:59.57 | Steps  2926 | Reward  141859.0 | Avg(10)   73011.6 | Dist   1240m ( 38.8%) | Buf   2.8% | Total  139466 | End: off_track
Ep ep_000093.2 | Time 0:02.58 | Steps   174 | Reward    4134.1 | Avg(10)   66123.9 | Dist     10m (  0.3%) | Buf   2.8% | Total  139640 | End: damage
Ep ep_000094.2 | Time 0:02.93 | Steps   190 | Reward    5211.4 | Avg(10)   58621.2 | Dist     10m (  0.3%) | Buf   2.9% | Total  139830 | End: damage
Ep ep_000095.2 | Time 0:02.64 | Steps   177 | Reward    4327.5 | Avg(10)   39042.2 | Dist     10m (  0.3%) | Buf   2.9% | Total  140007 | End: damage
Ep ep_000096.2 | Time 1:11.47 | Steps  3487 | Reward  170143.0 | Avg(10)   52809.8 | Dist   1740m ( 54.4%) | Buf   3.6% | Total  143494 | End: off_track
Ep ep_000097.2 | Time 0:02.67 | Steps   178 | Reward    4644.3 | Avg(10)   50166.5 | Dist     10m (  0.3%) | Buf   3.6% | Total  143672 | End: damage
Ep ep_000098.2 | Time 0:02.45 | Steps   168 | Reward    3880.1 | Avg(10)   47965.0 | Dist     10m (  0.3%) | Buf   3.7% | Total  143840 | End: damage
Ep ep_000099.2 | Time 0:15.85 | Steps   813 | Reward   33892.3 | Avg(10)   48699.4 | Dist     10m (  0.3%) | Buf   3.8% | Total  144653 | End: too_slow
Ep ep_000100.2 | Time 1:19.72 | Steps  3862 | Reward  180156.5 | Avg(10)   60900.9 | Dist   1724m ( 53.9%) | Buf   4.6% | Total  148515 | End: off_track
  [ai-swap] loaded models/episodes/ep_000085.2 | new branch=3 | next=ep_000086.3
Ep ep_000086.3 | Time 0:16.69 | Steps   852 | Reward   38403.7 | Avg(10)   38403.7 | Dist     37m (  1.2%) | Buf   0.2% | Total  149367 | End: off_track
Ep ep_000087.3 | Time 0:35.37 | Steps  1716 | Reward   81583.1 | Avg(10)   59993.4 | Dist    488m ( 15.2%) | Buf   0.5% | Total  151083 | End: off_track
Ep ep_000088.3 | Time 0:55.35 | Steps  2715 | Reward  131289.6 | Avg(10)   83758.8 | Dist   1222m ( 38.2%) | Buf   1.1% | Total  153798 | End: off_track
Ep ep_000089.3 | Time 0:13.31 | Steps   686 | Reward   30076.7 | Avg(10)   70338.3 | Dist     10m (  0.3%) | Buf   1.2% | Total  154484 | End: off_track
Ep ep_000090.3 | Time 0:32.57 | Steps  1576 | Reward   68102.4 | Avg(10)   69891.1 | Dist    244m (  7.6%) | Buf   1.5% | Total  156060 | End: off_track
Ep ep_000091.3 | Time 2:08.27 | Steps  6070 | Reward  290890.7 | Avg(10)  106724.4 | Dist   2414m ( 75.4%) | Buf   2.7% | Total  162130 | End: off_track
Ep ep_000092.3 | Time 0:03.02 | Steps   194 | Reward    5014.6 | Avg(10)   92194.4 | Dist     10m (  0.3%) | Buf   2.8% | Total  162324 | End: damage
