Ep ep_000145.11 | Time 0:19.03 | Steps   958 | Reward   43784.6 | Avg(10)   72214.8 | Dist     86m (  2.7%) | Buf   0.9% | Total  588958 | End: off_track
Ep ep_000146.11 | Time 1:55.60 | Steps  5493 | Reward  265512.8 | Avg(10)  120539.3 | Dist   2564m ( 80.1%) | Buf   2.0% | Total  594451 | End: off_track
Ep ep_000147.11 | Time 0:57.11 | Steps  2803 | Reward  136066.8 | Avg(10)  123644.8 | Dist   1220m ( 38.1%) | Buf   2.6% | Total  597254 | End: off_track
Ep ep_000148.11 | Time 0:18.34 | Steps   927 | Reward   42174.3 | Avg(10)  110066.4 | Dist    114m (  3.6%) | Buf   2.8% | Total  598181 | End: off_track
Ep ep_000149.11 | Time 0:17.93 | Steps   908 | Reward   41320.4 | Avg(10)  100245.5 | Dist    112m (  3.5%) | Buf   3.0% | Total  599089 | End: off_track
Ep ep_000150.11 | Time 0:18.01 | Steps   912 | Reward   41520.4 | Avg(10)   92904.9 | Dist    117m (  3.7%) | Buf   3.1% | Total  600001 | End: off_track
Ep ep_000151.11 | Time 0:18.96 | Steps   955 | Reward   43672.8 | Avg(10)   87434.6 | Dist    131m (  4.1%) | Buf   3.3% | Total  600956 | End: off_track
Ep ep_000152.11 | Time 0:18.54 | Steps   936 | Reward   42718.6 | Avg(10)   82963.0 | Dist    131m (  4.1%) | Buf   3.5% | Total  601892 | End: off_track
Ep ep_000153.11 | Time 0:26.59 | Steps  1302 | Reward   61022.4 | Avg(10)   81218.3 | Dist    357m ( 11.2%) | Buf   3.8% | Total  603194 | End: off_track
Ep ep_000154.11 | Time 0:27.54 | Steps  1345 | Reward   63168.5 | Avg(10)   78096.2 | Dist    384m ( 12.0%) | Buf   4.0% | Total  604539 | End: off_track
Ep ep_000155.11 | Time 0:26.84 | Steps  1313 | Reward   61563.3 | Avg(10)   79874.0 | Dist    345m ( 10.8%) | Buf   4.3% | Total  605852 | End: off_track
Ep ep_000156.11 | Time 0:27.76 | Steps  1355 | Reward   63647.8 | Avg(10)   59687.5 | Dist    387m ( 12.1%) | Buf   4.6% | Total  607207 | End: off_track
Ep ep_000157.11 | Time 0:26.20 | Steps  1284 | Reward   60088.8 | Avg(10)   52089.7 | Dist    345m ( 10.8%) | Buf   4.8% | Total  608491 | End: off_track
Ep ep_000158.11 | Time 0:27.52 | Steps  1344 | Reward   63060.1 | Avg(10)   54178.3 | Dist    345m ( 10.8%) | Buf   5.1% | Total  609835 | End: off_track
  [ai-swap] loaded models/episodes/ep_000147.9 | new branch=12 | next=ep_000148.12
Ep ep_000148.12 | Time 0:29.41 | Steps  1430 | Reward   67272.4 | Avg(10)   67272.4 | Dist    340m ( 10.6%) | Buf   0.3% | Total  611265 | End: off_track
Ep ep_000149.12 | Time 1:23.17 | Steps  4019 | Reward  196564.1 | Avg(10)  131918.3 | Dist   2028m ( 63.4%) | Buf   1.1% | Total  615284 | End: off_track
Ep ep_000150.12 | Time 0:30.71 | Steps  1489 | Reward   70103.8 | Avg(10)  111313.5 | Dist    346m ( 10.8%) | Buf   1.4% | Total  616773 | End: off_track
Ep ep_000151.12 | Time 0:29.74 | Steps  1445 | Reward   68017.9 | Avg(10)  100489.6 | Dist    350m ( 10.9%) | Buf   1.7% | Total  618218 | End: off_track
Ep ep_000152.12 | Time 0:39.43 | Steps  1919 | Reward   91700.1 | Avg(10)   98731.7 | Dist    631m ( 19.7%) | Buf   2.1% | Total  620137 | End: off_track
Ep ep_000153.12 | Time 0:28.62 | Steps  1394 | Reward   65587.0 | Avg(10)   93207.6 | Dist    352m ( 11.0%) | Buf   2.3% | Total  621531 | End: off_track
Ep ep_000154.12 | Time 0:28.07 | Steps  1369 | Reward   64338.1 | Avg(10)   89083.3 | Dist    353m ( 11.0%) | Buf   2.6% | Total  622900 | End: off_track
Ep ep_000155.12 | Time 0:58.05 | Steps  2850 | Reward  138388.1 | Avg(10)   95246.4 | Dist   1263m ( 39.5%) | Buf   3.2% | Total  625750 | End: off_track
Ep ep_000156.12 | Time 0:19.77 | Steps   992 | Reward   45279.1 | Avg(10)   89694.5 | Dist    115m (  3.6%) | Buf   3.4% | Total  626742 | End: off_track
Ep ep_000157.12 | Time 0:04.93 | Steps   281 | Reward    9957.5 | Avg(10)   81720.8 | Dist     10m (  0.3%) | Buf   3.4% | Total  627023 | End: off_track
Ep ep_000158.12 | Time 0:04.91 | Steps   280 | Reward    9912.6 | Avg(10)   75984.8 | Dist     10m (  0.3%) | Buf   3.5% | Total  627303 | End: off_track
Ep ep_000159.12 | Time 0:05.24 | Steps   295 | Reward   10656.7 | Avg(10)   57394.1 | Dist     10m (  0.3%) | Buf   3.6% | Total  627598 | End: off_track
Ep ep_000160.12 | Time 0:57.95 | Steps  2845 | Reward  138137.0 | Avg(10)   64197.4 | Dist   1200m ( 37.5%) | Buf   4.1% | Total  630443 | End: off_track
  [track] length measured by TORCS sensor: 3099m
Ep ep_000161.12 | Time 2:23.36 | Steps  6825 | Reward  338477.0 | Avg(10)   91243.3 | Dist   3099m (100.0%) | Buf   5.5% | Total  637268 | End: finished
  [ai-swap] loaded models/episodes/ep_000147.9 | new branch=13 | next=ep_000148.13
Ep ep_000148.13 | Time 0:22.81 | Steps  1130 | Reward   52324.5 | Avg(10)   52324.5 | Dist     52m (  1.7%) | Buf   0.2% | Total  638398 | End: off_track
Ep ep_000149.13 | Time 0:18.43 | Steps   931 | Reward   42322.2 | Avg(10)   47323.3 | Dist     10m (  0.3%) | Buf   0.4% | Total  639329 | End: off_track
Ep ep_000150.13 | Time 0:31.50 | Steps  1525 | Reward   69573.1 | Avg(10)   54739.9 | Dist    304m (  9.8%) | Buf   0.7% | Total  640854 | End: too_slow
Ep ep_000151.13 | Time 0:28.64 | Steps  1395 | Reward   65633.9 | Avg(10)   57463.4 | Dist    235m (  7.6%) | Buf   1.0% | Total  642249 | End: off_track
Ep ep_000152.13 | Time 0:04.32 | Steps   253 | Reward    8545.1 | Avg(10)   47679.7 | Dist     10m (  0.3%) | Buf   1.0% | Total  642502 | End: off_track
Ep ep_000153.13 | Time 0:29.54 | Steps  1436 | Reward   67678.5 | Avg(10)   51012.9 | Dist    238m (  7.7%) | Buf   1.3% | Total  643938 | End: off_track
Ep ep_000154.13 | Time 1:07.55 | Steps  3309 | Reward  161315.6 | Avg(10)   66770.4 | Dist   1442m ( 46.5%) | Buf   2.0% | Total  647247 | End: off_track
Ep ep_000155.13 | Time 1:04.71 | Steps  3180 | Reward  154897.5 | Avg(10)   77786.3 | Dist   1465m ( 47.3%) | Buf   2.6% | Total  650427 | End: off_track
Ep ep_000156.13 | Time 1:19.39 | Steps  3847 | Reward  188155.8 | Avg(10)   90049.6 | Dist   1974m ( 63.7%) | Buf   3.4% | Total  654274 | End: off_track
Ep ep_000157.13 | Time 1:18.86 | Steps  3823 | Reward  187062.3 | Avg(10)   99750.9 | Dist   1956m ( 63.1%) | Buf   4.2% | Total  658097 | End: off_track
Ep ep_000158.13 | Time 1:21.01 | Steps  3921 | Reward  191958.7 | Avg(10)  113714.3 | Dist   1954m ( 63.0%) | Buf   5.0% | Total  662018 | End: off_track
Ep ep_000159.13 | Time 1:23.63 | Steps  4040 | Reward  197783.9 | Avg(10)  129260.4 | Dist   1960m ( 63.2%) | Buf   5.8% | Total  666058 | End: off_track
Ep ep_000160.13 | Time 0:19.66 | Steps   987 | Reward   45037.1 | Avg(10)  126806.8 | Dist     15m (  0.5%) | Buf   6.0% | Total  667045 | End: off_track
Ep ep_000161.13 | Time 1:30.50 | Steps  4352 | Reward  209121.2 | Avg(10)  141155.6 | Dist   2029m ( 65.5%) | Buf   6.8% | Total  671397 | End: off_track
Ep ep_000162.13 | Time 0:22.83 | Steps  1131 | Reward   52249.8 | Avg(10)  145526.0 | Dist     47m (  1.5%) | Buf   7.1% | Total  672528 | End: off_track
Ep ep_000163.13 | Time 0:16.10 | Steps   825 | Reward   37146.4 | Avg(10)  142472.8 | Dist     10m (  0.3%) | Buf   7.2% | Total  673353 | End: off_track
Ep ep_000164.13 | Time 0:15.61 | Steps   801 | Reward   35941.3 | Avg(10)  129935.4 | Dist     10m (  0.3%) | Buf   7.4% | Total  674154 | End: off_track
Ep ep_000165.13 | Time 1:20.97 | Steps  3919 | Reward  191860.1 | Avg(10)  133631.7 | Dist   1939m ( 62.6%) | Buf   8.2% | Total  678073 | End: off_track
Ep ep_000166.13 | Time 0:15.35 | Steps   788 | Reward   35294.8 | Avg(10)  118345.6 | Dist     10m (  0.3%) | Buf   8.3% | Total  678861 | End: off_track
Ep ep_000167.13 | Time 1:23.59 | Steps  4038 | Reward  197814.0 | Avg(10)  119420.7 | Dist   1947m ( 62.8%) | Buf   9.1% | Total  682899 | End: off_track
Ep ep_000168.13 | Time 1:22.40 | Steps  3984 | Reward  195122.1 | Avg(10)  119737.1 | Dist   1967m ( 63.5%) | Buf   9.9% | Total  686883 | End: off_track
Ep ep_000169.13 | Time 0:15.21 | Steps   781 | Reward   34955.4 | Avg(10)  103454.2 | Dist     10m (  0.3%) | Buf  10.1% | Total  687664 | End: off_track
Ep ep_000170.13 | Time 0:15.81 | Steps   811 | Reward   36459.4 | Avg(10)  102596.4 | Dist     10m (  0.3%) | Buf  10.2% | Total  688475 | End: off_track
Ep ep_000171.13 | Time 1:21.26 | Steps  3932 | Reward  192499.3 | Avg(10)  100934.3 | Dist   1965m ( 63.4%) | Buf  11.0% | Total  692407 | End: off_track
  [ai-swap] loaded models/episodes/ep_000161.13 | new branch=14 | next=ep_000162.14
Ep ep_000162.14 | Time 1:23.19 | Steps  4020 | Reward  196774.3 | Avg(10)  196774.3 | Dist   1978m ( 63.8%) | Buf   0.8% | Total  696427 | End: off_track
Ep ep_000163.14 | Time 0:16.25 | Steps   832 | Reward   37499.8 | Avg(10)  117137.1 | Dist     10m (  0.3%) | Buf   1.0% | Total  697259 | End: off_track
Ep ep_000164.14 | Time 0:15.49 | Steps   795 | Reward   35634.6 | Avg(10)   89969.6 | Dist     10m (  0.3%) | Buf   1.1% | Total  698054 | End: off_track
Ep ep_000165.14 | Time 0:15.49 | Steps   795 | Reward   35664.4 | Avg(10)   76393.3 | Dist     10m (  0.3%) | Buf   1.3% | Total  698849 | End: off_track
Ep ep_000166.14 | Time 0:16.56 | Steps   846 | Reward   38232.8 | Avg(10)   68761.2 | Dist     10m (  0.3%) | Buf   1.5% | Total  699695 | End: off_track
Ep ep_000167.14 | Time 0:16.56 | Steps   846 | Reward   38224.8 | Avg(10)   63671.8 | Dist     10m (  0.3%) | Buf   1.6% | Total  700541 | End: off_track
Ep ep_000168.14 | Time 0:17.60 | Steps   893 | Reward   40580.7 | Avg(10)   60373.1 | Dist     10m (  0.3%) | Buf   1.8% | Total  701434 | End: off_track
Ep ep_000169.14 | Time 0:17.53 | Steps   890 | Reward   40433.4 | Avg(10)   57880.6 | Dist     10m (  0.3%) | Buf   2.0% | Total  702324 | End: off_track
Ep ep_000170.14 | Time 0:18.48 | Steps   933 | Reward   42581.5 | Avg(10)   56180.7 | Dist     10m (  0.3%) | Buf   2.2% | Total  703257 | End: off_track
Ep ep_000171.14 | Time 0:20.06 | Steps  1005 | Reward   46187.8 | Avg(10)   55181.4 | Dist     29m (  0.9%) | Buf   2.4% | Total  704262 | End: off_track
Ep ep_000172.14 | Time 0:20.70 | Steps  1034 | Reward   47599.2 | Avg(10)   40263.9 | Dist     27m (  0.9%) | Buf   2.6% | Total  705296 | End: off_track
Ep ep_000173.14 | Time 0:17.51 | Steps   889 | Reward   40386.0 | Avg(10)   40552.5 | Dist     10m (  0.3%) | Buf   2.8% | Total  706185 | End: off_track
Ep ep_000174.14 | Time 0:20.57 | Steps  1028 | Reward   47250.9 | Avg(10)   41714.2 | Dist     20m (  0.6%) | Buf   3.0% | Total  707213 | End: off_track
Ep ep_000175.14 | Time 0:03.13 | Steps   199 | Reward    5870.4 | Avg(10)   38734.8 | Dist     10m (  0.3%) | Buf   3.0% | Total  707412 | End: off_track
Ep ep_000176.14 | Time 0:03.17 | Steps   201 | Reward    5969.8 | Avg(10)   35508.4 | Dist     10m (  0.3%) | Buf   3.0% | Total  707613 | End: off_track
Ep ep_000177.14 | Time 0:03.11 | Steps   198 | Reward    5419.5 | Avg(10)   32227.9 | Dist     10m (  0.3%) | Buf   3.1% | Total  707811 | End: off_track
Ep ep_000178.14 | Time 0:03.68 | Steps   224 | Reward    7141.9 | Avg(10)   28884.0 | Dist     10m (  0.3%) | Buf   3.1% | Total  708035 | End: off_track
Ep ep_000179.14 | Time 0:16.89 | Steps   861 | Reward   38970.8 | Avg(10)   28737.8 | Dist     10m (  0.3%) | Buf   3.3% | Total  708896 | End: off_track
Ep ep_000180.14 | Time 0:18.59 | Steps   938 | Reward   42799.1 | Avg(10)   28759.5 | Dist     10m (  0.3%) | Buf   3.5% | Total  709834 | End: off_track
Ep ep_000181.14 | Time 0:17.09 | Steps   870 | Reward   39434.6 | Avg(10)   28084.2 | Dist     10m (  0.3%) | Buf   3.7% | Total  710704 | End: off_track
Ep ep_000182.14 | Time 0:16.87 | Steps   860 | Reward   38889.2 | Avg(10)   27213.2 | Dist     10m (  0.3%) | Buf   3.8% | Total  711564 | End: off_track
Ep ep_000183.14 | Time 0:16.87 | Steps   860 | Reward   38885.1 | Avg(10)   27063.1 | Dist     10m (  0.3%) | Buf   4.0% | Total  712424 | End: off_track
Ep ep_000184.14 | Time 0:16.76 | Steps   855 | Reward   38637.8 | Avg(10)   26201.8 | Dist     10m (  0.3%) | Buf   4.2% | Total  713279 | End: off_track
