time,generation,best_lap,gen_best_lap,mean_lap,max_dist,laps_completed,popsize,gen_seconds,sigma
1780394629,0,,,,1083.8,0,32,33.6,0.0500
1780394665,1,,,,2504.6,0,32,36.0,0.0500
1780394702,2,,,,2471.3,0,32,36.4,0.0500
1780394738,3,,,,2495.4,0,32,36.4,0.0500
1780394775,4,,,,2479.0,0,32,36.8,0.0500
1780394811,5,,,,2475.9,0,32,36.3,0.0500
1780394848,6,,,,2484.6,0,32,36.5,0.0500
1780394884,7,,,,2503.1,0,32,36.6,0.0500
1780394924,8,,,,2508.9,0,32,39.4,0.0500
1780394962,9,,,,2506.3,0,32,38.4,0.0500
1780395002,10,,,,2503.7,0,32,40.3,0.0500
1780395044,11,,,,2511.9,0,32,41.4,0.0500
1780395083,12,,,,2510.8,0,32,39.5,0.0500
1780395124,13,,,,2510.3,0,32,40.5,0.0500
1780395166,14,,,,3278.8,0,32,42.1,0.0500
1780395209,15,,,,3277.7,0,32,42.7,0.0500
1780395254,16,,,,2514.5,0,32,45.0,0.0500
1780395297,17,,,,3563.8,0,32,43.7,0.0500
1780395343,18,,,,3486.1,0,32,46.2,0.0500
1780395391,19,,,,3292.1,0,32,47.3,0.0500
1780395438,20,,,,3567.9,0,32,46.7,0.0500
1780395483,21,,,,3279.0,0,32,45.9,0.0500
1780395534,22,,,,3378.0,0,32,50.2,0.0500
1780395583,23,,,,3513.9,0,32,49.7,0.0500
1780395633,24,,,,3451.0,0,32,49.5,0.0500
1780395702,25,224.110,225.540,,3608.7,2,32,68.8,0.0500
1780395747,26,224.110,253.300,,3608.7,4,32,45.6,0.0500
1780395793,27,224.110,255.700,,3608.6,2,32,45.7,0.0500
1780396002,29,221.170,221.180,244.560,3608.7,7,32,67.0,0.0500
1780396049,30,221.170,224.960,243.640,3608.7,9,32,47.8,0.0500
1780396120,31,200.780,200.860,241.040,3608.7,16,32,70.6,0.0460
1780396170,32,200.780,206.680,230.400,3608.7,15,32,50.5,0.0423
1780396223,33,200.780,208.880,225.740,3608.8,22,32,52.1,0.0389
1780396294,34,192.085,192.260,218.820,3608.8,24,32,71.0,0.0358
1780396345,35,192.085,196.360,210.540,3608.8,27,32,51.7,0.0330
1780396416,36,191.315,191.700,199.860,3608.8,28,32,70.3,0.0303
1780396487,37,182.830,182.960,187.480,3608.8,28,32,71.0,0.0279
1780396554,38,182.830,173.200,180.240,3608.8,23,32,67.4,0.0257
1780396622,39,178.535,178.960,178.020,3608.8,18,32,68.4,0.0236
1780396691,40,173.000,172.720,183.560,3608.9,18,32,68.5,0.0217
1780396740,41,173.000,173.980,186.520,3608.9,28,32,49.6,0.0200
1780396790,42,173.000,176.880,184.200,3608.9,31,32,49.7,0.0184
1780396858,43,170.555,170.860,178.480,3608.9,29,32,67.9,0.0169
1780396928,44,169.993,170.380,171.540,3608.9,27,32,69.7,0.0156
1780396976,45,169.993,172.060,171.080,3608.9,17,32,47.9,0.0150
1780397024,46,169.993,170.560,175.200,3608.8,16,32,48.2,0.0150
1780397091,47,169.993,168.420,179.260,3608.9,27,32,66.9,0.0150
1780397139,48,169.993,170.200,175.940,3608.9,31,32,48.7,0.0150
1780397205,49,169.993,168.980,175.060,3608.9,23,32,66.2,0.0150
1780397253,50,169.993,170.040,172.780,3608.9,27,32,48.0,0.0150
1780397320,51,168.580,169.380,171.200,3608.9,26,32,66.7,0.0195
1780397368,52,168.580,169.660,170.540,3608.9,17,32,47.4,0.0179
1780397433,53,168.490,167.860,172.500,3608.9,20,32,65.8,0.0165
1780397476,54,168.490,169.500,176.500,3608.9,23,32,42.2,0.0152
1780397519,55,168.490,169.420,178.600,3608.9,28,32,43.9,0.0150
1780397568,56,168.490,169.040,174.820,3608.9,30,32,48.8,0.0150
1780397617,57,168.490,169.120,169.820,3608.9,31,32,49.0,0.0150
1780397685,58,164.055,164.220,166.680,3608.9,24,32,67.8,0.0150
1780397732,59,164.055,164.140,166.420,3608.9,16,32,46.8,0.0150
1780397778,60,164.055,166.640,169.420,3608.8,14,32,45.9,0.0150
1780397825,61,164.055,165.420,173.460,3608.9,23,32,47.5,0.0150
1780397894,62,162.613,162.840,173.380,3608.9,31,32,68.5,0.0150
1780397943,63,162.613,162.860,167.220,3608.9,31,32,49.3,0.0150
1780398009,64,162.613,161.160,,3608.9,26,32,65.8,0.0150
1780398073,65,162.613,162.060,,3609.0,15,32,64.5,0.0150
1780398137,66,162.613,162.240,,3608.9,9,32,63.9,0.0195
1780398183,67,162.613,166.080,166.600,3608.9,12,32,46.0,0.0179
1780398230,68,162.613,163.600,171.240,3609.0,21,32,47.3,0.0165
1780398278,69,162.613,168.260,176.460,3608.9,29,32,47.6,0.0152
