time,generation,best_lap,gen_best_lap,mean_lap,max_dist,laps_completed,popsize,gen_seconds,sigma
1780438555,0,98.590,99.680,103.000,3609.6,9,48,47.1,0.0400
1780438607,1,98.590,101.000,108.680,3609.5,16,48,51.8,0.0352
1780438662,2,98.590,103.040,110.640,3609.5,39,48,54.7,0.0310
1780438718,3,98.590,106.020,114.220,3609.5,37,48,56.3,0.0273
1780438847,0,98.590,103.620,,3609.4,8,48,44.8,0.0400
1780438899,1,98.590,102.500,106.120,3609.5,19,48,52.3,0.0352
1780438953,2,98.590,103.040,111.180,3609.6,37,48,53.8,0.0310
1780439009,3,98.590,102.520,110.280,3609.5,35,48,55.3,0.0273
1780439064,4,98.590,103.300,107.120,3609.6,39,48,55.5,0.0240
1780439119,5,98.590,102.220,104.140,3609.6,38,48,55.4,0.0211
1780439174,6,98.590,102.320,,3609.6,26,48,54.7,0.0186
1780439229,7,98.590,101.620,103.860,3609.5,26,48,54.6,0.0163
1780439284,8,98.590,100.760,106.080,3609.7,35,48,55.2,0.0150
1780439340,9,98.590,99.760,105.140,3609.6,39,48,56.5,0.0150
1780439397,10,98.590,100.360,102.440,3609.6,38,48,56.2,0.0150
1780439450,11,98.590,100.380,99.940,3609.6,31,48,53.5,0.0150
1780439500,12,98.590,99.960,,3609.7,18,48,49.8,0.0150
1780439568,13,98.590,98.420,100.860,3609.7,14,48,68.1,0.0150
1780439619,14,98.590,99.540,,3609.6,21,48,50.6,0.0150
1780439671,15,98.590,100.440,106.140,3609.7,26,48,51.9,0.0150
1780439724,16,98.590,101.520,109.380,3609.7,36,48,53.1,0.0150
1780439776,17,98.590,101.840,108.940,3609.6,35,48,52.7,0.0150
1780439830,18,98.590,101.580,103.440,3609.6,43,48,54.0,0.0150
1780439884,19,98.590,100.440,100.200,3609.7,39,48,54.2,0.0150
1780439953,20,98.590,98.200,,3609.7,22,48,68.9,0.0150
1780440002,21,98.590,98.840,,3609.7,11,48,48.6,0.0150
