time,generation,best_lap,gen_best_lap,mean_lap,max_dist,laps_completed,popsize,gen_seconds,sigma
1780475496,0,98.440,99.900,,3609.4,4,48,51.7,0.0400
1780475553,1,89.980,90.020,117.760,3609.6,10,48,57.1,0.0400
1780475610,2,89.980,92.820,134.360,3609.5,26,48,57.3,0.0388
1780475668,3,89.980,95.460,130.140,3609.5,18,48,58.3,0.0376
1780475732,4,89.980,89.760,112.520,3609.5,13,48,63.5,0.0376
1780475795,5,89.260,89.860,98.500,3609.4,24,48,63.2,0.0365
1780475850,6,89.260,92.860,93.840,3609.5,32,48,55.1,0.0354
1780475911,7,88.830,88.760,91.580,3609.5,36,48,60.7,0.0343
1780475964,8,88.830,91.080,90.560,3609.5,23,48,52.9,0.0333
1780476016,9,88.830,89.700,90.300,3609.5,17,48,52.5,0.0323
1780476067,10,88.830,90.440,89.540,3609.5,13,48,51.1,0.0323
1780476121,11,88.830,89.260,90.220,3609.7,34,48,53.7,0.0313
1780476174,12,88.830,90.240,92.420,3609.5,21,48,52.6,0.0304
1780476228,13,88.830,91.100,93.640,3609.5,33,48,54.7,0.0295
1780476283,14,88.830,91.780,93.200,3609.6,29,48,54.2,0.0286
1780476337,15,88.830,90.060,91.880,3609.5,30,48,54.2,0.0278
1780476391,16,88.830,89.580,90.700,3609.5,33,48,54.7,0.0269
1780476448,17,88.520,88.540,88.160,3609.6,26,48,56.9,0.0261
1780476504,18,87.250,88.260,88.460,3609.6,32,48,56.0,0.0253
1780476563,19,86.140,86.300,87.320,3609.4,21,48,58.7,0.0246
1780476621,20,84.970,85.060,87.600,3609.5,25,48,58.1,0.0238
1780476673,21,84.970,86.660,87.820,3609.7,21,48,52.4,0.0231
1780476728,22,84.970,85.260,87.280,3609.6,36,48,54.1,0.0224
1780476787,23,84.970,84.840,86.920,3609.7,44,48,59.2,0.0218
1780476845,24,84.870,84.640,85.240,3609.6,28,48,58.2,0.0211
1780476903,25,83.870,83.820,84.880,3609.8,26,48,58.2,0.0205
1780476955,26,83.870,84.380,84.060,3609.6,21,48,52.1,0.0199
1780477013,27,83.680,83.540,84.660,3609.8,17,48,57.7,0.0193
1780477064,28,83.680,84.940,86.020,3609.5,16,48,51.1,0.0187
1780477121,29,83.680,83.540,88.440,3609.8,15,48,57.3,0.0181
1780477174,30,83.680,85.100,87.980,3609.6,19,48,52.7,0.0176
1780477228,31,83.680,85.280,87.060,3609.7,34,48,54.4,0.0170
1780477282,32,83.680,87.360,89.140,3609.6,29,48,53.7,0.0165
1780477335,33,83.680,84.440,86.020,3609.7,36,48,53.3,0.0160
1780477391,34,83.680,84.500,85.160,3609.7,48,48,55.3,0.0156
1780477445,35,83.680,84.340,85.340,3609.8,47,48,54.6,0.0151
1780477495,36,83.680,84.220,87.500,3609.7,32,48,50.0,0.0150
1780477547,37,83.680,85.120,87.020,3609.6,16,48,51.7,0.0150
1780477599,38,83.680,85.260,85.680,3609.6,17,48,51.7,0.0150
1780477650,39,83.680,85.780,86.380,3609.7,17,48,51.5,0.0150
1780477701,40,83.680,85.880,,3609.7,14,48,51.2,0.0150
