time,generation,best_lap,gen_best_lap,mean_lap,max_dist,laps_completed,popsize,gen_seconds,sigma
1780495000,0,75.330,76.580,77.100,3609.9,12,64,81.1,0.0400
1780495090,1,75.330,76.780,78.560,3609.8,32,64,90.1,0.0388
1780495183,2,75.330,76.600,78.860,3609.8,39,64,92.8,0.0376
1780495281,3,75.330,76.040,77.920,3610.0,50,64,97.9,0.0365
1780495379,4,75.330,76.540,77.280,3609.9,52,64,98.9,0.0354
1780495475,5,75.330,76.060,77.100,3609.9,47,64,95.5,0.0343
1780495568,6,75.330,76.420,77.540,3609.9,35,64,92.6,0.0333
1780495665,7,75.330,76.140,77.280,3609.8,51,64,97.4,0.0323
1780495763,8,75.330,76.780,77.040,3609.9,50,64,97.7,0.0313
1780495862,9,75.330,76.140,78.000,3609.9,51,64,99.4,0.0304
1780495959,10,75.330,76.120,78.060,3609.9,54,64,96.8,0.0295
1780496057,11,75.330,76.220,76.700,3609.8,57,64,98.3,0.0286
1780496156,12,75.330,76.400,76.160,3609.9,58,64,98.7,0.0278
1780496254,13,75.330,75.760,76.140,3609.9,58,64,97.7,0.0269
1780496349,14,75.330,75.660,75.700,3609.9,54,64,95.2,0.0261
1780496446,15,75.330,75.340,75.440,3609.9,48,64,97.5,0.0253
1780496549,16,75.220,75.400,75.180,3609.9,47,64,102.5,0.0246
1780496650,17,75.130,75.060,75.420,3609.9,40,64,101.0,0.0238
1780496753,18,74.970,74.940,75.240,3609.9,51,64,103.2,0.0231
1780496848,19,74.970,75.140,75.300,3609.9,47,64,94.8,0.0224
1780496949,20,74.660,74.680,75.160,3609.9,48,64,101.7,0.0218
1780497045,21,74.660,74.840,74.960,3609.9,52,64,95.1,0.0211
1780497152,22,74.560,74.720,74.600,3609.9,60,64,107.2,0.0205
1780497255,23,74.460,74.580,74.520,3609.9,54,64,103.6,0.0199
1780497359,24,74.350,74.220,74.240,3609.9,57,64,103.5,0.0193
1780497462,25,74.060,74.120,74.300,3609.9,53,64,102.7,0.0187
1780497563,26,73.970,73.920,74.020,3609.9,52,64,101.3,0.0181
1780497663,27,73.720,73.680,73.880,3609.9,58,64,100.6,0.0176
1780497758,28,73.720,73.740,73.800,3609.9,51,64,94.3,0.0170
1780497862,29,73.540,73.540,73.740,3609.9,56,64,103.9,0.0165
1780497965,30,73.500,73.500,73.660,3610.0,57,64,103.8,0.0160
1780498068,31,73.460,73.440,73.400,3609.9,54,64,102.2,0.0156
1780498173,32,73.350,73.400,73.300,3609.9,55,64,105.7,0.0151
1780498277,33,73.080,73.140,73.080,3609.9,56,64,103.3,0.0146
1780498381,34,72.900,72.940,72.940,3609.9,56,64,104.3,0.0142
1780498485,35,72.770,72.720,72.960,3609.9,57,64,104.3,0.0138
1780498591,36,72.440,72.580,72.440,3609.9,56,64,105.6,0.0134
1780498691,37,72.440,72.400,72.480,3609.9,42,64,99.9,0.0130
1780498783,38,72.440,72.400,72.400,3609.9,22,64,92.3,0.0126
1780498878,39,72.390,72.380,72.840,3609.9,27,64,94.8,0.0122
1780498975,40,72.340,72.380,,3609.8,32,64,97.5,0.0118
1780499064,41,72.340,72.340,72.780,3609.9,28,64,88.9,0.0115
1780499156,42,72.340,72.360,72.940,3609.9,32,64,91.4,0.0111
1780499246,43,72.340,72.620,73.000,3609.9,43,64,90.6,0.0108
1780499339,44,72.340,72.480,72.780,3609.9,46,64,93.0,0.0105
1780499435,45,72.340,72.680,72.900,3609.9,60,64,96.1,0.0102
1780499532,46,72.340,72.620,72.780,3609.9,57,64,96.3,0.0100
1780499626,47,72.340,72.680,72.860,3609.8,54,64,94.8,0.0100
1780499721,48,72.340,72.740,72.760,3609.9,54,64,94.9,0.0100
1780499817,49,72.340,72.580,72.800,3609.9,54,64,95.3,0.0100
1780499908,50,72.340,72.580,73.160,3610.0,44,64,91.3,0.0100
1780499997,51,72.340,72.760,73.440,3609.9,41,64,89.4,0.0100
1780500088,52,72.340,72.560,72.680,3610.0,43,64,90.6,0.0100
1780500183,53,72.340,72.420,73.260,3609.9,51,64,94.8,0.0100
1780500274,54,72.340,72.560,72.880,3609.9,45,64,91.3,0.0100
1780500362,55,72.340,72.420,72.840,3609.9,28,64,88.1,0.0100
1780500451,56,72.340,72.520,72.920,3609.9,31,64,89.3,0.0100
1780500542,57,72.340,72.580,73.120,3609.9,36,64,90.7,0.0100
1780500638,58,72.340,72.740,73.180,3609.9,53,64,95.5,0.0100
1780500733,59,72.340,72.720,73.180,3609.9,51,64,95.5,0.0100
1780500826,60,72.340,72.860,72.820,3609.9,46,64,92.5,0.0100
1780500917,61,72.340,72.660,73.320,3609.9,40,64,91.2,0.0100
1780501004,62,72.340,72.580,,3609.7,32,64,87.2,0.0100
1780501089,63,72.340,72.680,72.860,3609.8,22,64,84.6,0.0100
1780501174,64,72.340,72.680,72.760,3609.9,18,64,85.7,0.0100
1780501261,65,72.340,72.680,73.000,3609.9,24,64,86.2,0.0100
1780501346,66,72.340,72.600,73.340,3609.8,22,64,85.6,0.0100
1780501433,67,72.340,73.100,74.000,3609.8,20,64,87.1,0.0100
1780501521,68,72.340,73.200,,3609.9,20,64,88.0,0.0100
1780501608,69,72.340,73.380,,3609.9,21,64,86.7,0.0100
1780501700,70,72.340,73.240,73.800,3609.9,23,64,91.6,0.0100
1780501792,71,72.340,73.280,74.120,3609.8,28,64,92.4,0.0100
1780502098,72,72.340,73.300,,3609.8,23,64,89.6,0.0100
1780502189,73,72.340,73.640,,3609.8,15,64,90.9,0.0100
