t,dist,v,vy,angle,trackPos,rpm,gear,wsv0,wsv1,wsv2,wsv3,steer,accel,brake,kappa,ontrack
-0.982,0,-0.00253624,-0.000841633,0.00822276,0.333439,5235.99,0,0,0,0,0,-0.00987279,0.6,0,-0.00306428,1
-0.962,0,-0.00253624,-0.000841633,0.00822276,0.333439,5325.84,0,0,0,0,0,-0.0209437,0.6,0,-0.00306428,1
-0.942,0,-0.00253624,-0.000841633,0.00822276,0.333439,5417.3,0,0,0,0,0,-0.0324704,0.6,0,-0.00306428,1
-0.922,0,-0.00253624,-0.000841633,0.00822276,0.333439,5510.37,0,0,0,0,0,-0.0440952,0.6,0,-0.00306428,1
-0.902,0,-0.00253624,-0.000841633,0.00822276,0.333439,5605.09,0,0,0,0,0,-0.0604213,0.6,0,-0.00306428,1
-0.882,0,-0.00253624,-0.000841633,0.00822276,0.333439,5701.48,0,0,0,0,0,-0.0741358,0.6,0,-0.00306428,1
-0.862,0,-0.00253624,-0.000841633,0.00822276,0.333439,5799.56,0,0,0,0,0,-0.108812,0.6,0,-0.00306428,1
-0.842,0,-0.00253624,-0.000841633,0.00822276,0.333439,5899.35,0,0,0,0,0,-0.125582,0.6,0,-0.00306428,1
-0.822,0,-0.00253624,-0.000841633,0.00822276,0.333439,6000.89,0,0,0,0,0,-0.123956,0.6,0,-0.00306428,1
-0.802,0,-0.00253624,-0.000841633,0.00822276,0.333439,6104.19,0,0,0,0,0,-0.117956,0.6,0,-0.00306428,1
-0.782,0,-0.00253624,-0.000841633,0.00822276,0.333439,6209.29,0,0,0,0,0,-0.12096,0.6,0,-0.00306428,1
-0.762,0,-0.00253624,-0.000841633,0.00822276,0.333439,6316.21,0,0,0,0,0,-0.118049,0.6,0,-0.00306428,1
-0.742,0,-0.00253624,-0.000841633,0.00822276,0.333439,6424.96,0,0,0,0,0,-0.137848,0.6,0,-0.00306428,1
-0.722,0,-0.00253624,-0.000841633,0.00822276,0.333439,6535.59,0,0,0,0,0,-0.134861,0.6,0,-0.00306428,1
-0.702,0,-0.00253624,-0.000841633,0.00822276,0.333439,6648.1,0,0,0,0,0,-0.137279,0.6,0,-0.00306428,1
-0.682,0,-0.00253624,-0.000841633,0.00822276,0.333439,6762.54,0,0,0,0,0,-0.126049,0.6,0,-0.00306428,1
-0.662,0,-0.00253624,-0.000841633,0.00822276,0.333439,6878.92,0,0,0,0,0,-0.117811,0.6,0,-0.00306428,1
-0.642,0,-0.00253624,-0.000841633,0.00822276,0.333439,6997.27,0,0,0,0,0,-0.107196,0.6,0,-0.00306428,1
-0.622,0,-0.00253624,-0.000841633,0.00822276,0.333439,7117.61,0,0,0,0,0,-0.101354,0.6,0,-0.00306428,1
-0.602,0,-0.00253624,-0.000841633,0.00822276,0.333439,7239.98,0,0,0,0,0,-0.104678,0.6,0,-0.00306428,1
-0.582,0,-0.00253624,-0.000841633,0.00822276,0.333439,7364.4,0,0,0,0,0,-0.114491,0.6,0,-0.00306428,1
-0.562,0,-0.00253624,-0.000841633,0.00822276,0.333439,7490.89,0,0,0,0,0,-0.112775,0.6,0,-0.00306428,1
-0.542,0,-0.00253624,-0.000841633,0.00822276,0.333439,7619.48,0,0,0,0,0,-0.114681,0.6,0,-0.00306428,1
-0.522,0,-0.00253624,-0.000841633,0.00822276,0.333439,7750.19,0,0,0,0,0,-0.103453,0.6,0,-0.00306428,1
-0.502,0,-0.00253624,-0.000841633,0.00822276,0.333439,7883.06,0,0,0,0,0,-0.114917,0.6,0,-0.00306428,1
-0.482,0,-0.00253624,-0.000841633,0.00822276,0.333439,8018.1,0,0,0,0,0,-0.126693,0.6,0,-0.00306428,1
-0.462,0,-0.00253624,-0.000841633,0.00822276,0.333439,8155.35,0,0,0,0,0,-0.128515,0.6,0,-0.00306428,1
-0.442,0,-0.00253624,-0.000841633,0.00822276,0.333439,8294.82,0,0,0,0,0,-0.125719,0.6,0,-0.00306428,1
-0.422,0,-0.00253624,-0.000841633,0.00822276,0.333439,8436.55,0,0,0,0,0,-0.123253,0.6,0,-0.00306428,1
-0.402,0,-0.00253624,-0.000841633,0.00822276,0.333439,8580.57,0,0,0,0,0,-0.109169,0.6,0,-0.00306428,1
-0.382,0,-0.00253624,-0.000841633,0.00822276,0.333439,8726.89,0,0,0,0,0,-0.102277,0.6,0,-0.00306428,1
-0.362,0,-0.00253624,-0.000841633,0.00822276,0.333439,8875.54,0,0,0,0,0,-0.0868063,0.6,0,-0.00306428,1
-0.342,0,-0.00253624,-0.000841633,0.00822276,0.333439,9026.54,0,0,0,0,0,-0.0838948,0.6,0,-0.00306428,1
-0.322,0,-0.00253624,-0.000841633,0.00822276,0.333439,9179.93,0,0,0,0,0,-0.0923828,0.6,0,-0.00306428,1
-0.302,0,-0.00253624,-0.000841633,0.00822276,0.333439,9335.73,0,0,0,0,0,-0.109754,0.6,0,-0.00306428,1
-0.282,0,-0.00253624,-0.000841633,0.00822276,0.333439,9493.75,0,0,0,0,0,-0.115979,0.6,0,-0.00306428,1
-0.262,0,-0.00253624,-0.000841633,0.00822276,0.333439,9651.93,0,0,0,0,0,-0.105779,0.6,0,-0.00306428,1
-0.242,0,-0.00253624,-0.000841633,0.00822276,0.333439,9809.73,0,0,0,0,0,-0.122336,0.6,0,-0.00306428,1
-0.222,0,-0.00253624,-0.000841633,0.00822276,0.333439,9967.16,0,0,0,0,0,-0.111252,0.6,0,-0.00306428,1
-0.202,0,-0.00253624,-0.000841633,0.00822276,0.333439,10124.2,0,0,0,0,0,-0.113688,0.6,0,-0.00306428,1
-0.182,0,-0.00253624,-0.000841633,0.00822276,0.333439,10280.9,0,0,0,0,0,-0.121111,0.6,0,-0.00306428,1
-0.162,0,-0.00253624,-0.000841633,0.00822276,0.333439,10437.2,0,0,0,0,0,-0.117906,0.6,0,-0.00306428,1
-0.142,0,-0.00253624,-0.000841633,0.00822276,0.333439,10593.2,0,0,0,0,0,-0.119396,0.6,0,-0.00306428,1
-0.122,0,-0.00253624,-0.000841633,0.00822276,0.333439,10748.8,0,0,0,0,0,-0.11847,0.6,0,-0.00306428,1
-0.102,0,-0.00253624,-0.000841633,0.00822276,0.333439,10904,0,0,0,0,0,-0.118554,0.6,0,-0.00306428,1
-0.082,0,-0.00253624,-0.000841633,0.00822276,0.333439,11058.8,0,0,0,0,0,-0.0996668,0.6,0,-0.00306428,1
-0.062,0,-0.00253624,-0.000841633,0.00822276,0.333439,11213.3,0,0,0,0,0,-0.100652,0.6,0,-0.00306428,1
-0.042,0,-0.00253624,-0.000841633,0.00822276,0.333439,11367.5,0,0,0,0,0,-0.105958,0.6,0,-0.00306428,1
-0.022,0,-0.00253624,-0.000841633,0.00822276,0.333439,11521.2,0,0,0,0,0,-0.130459,0.6,0,-0.00306428,1
0.018,0,-0.00477781,0.00395733,0.00871485,0.33345,11827.7,0,0.794959,-0.819366,1.05413,-1.0829,-0.154831,0.6,0,-0.0030272,1
0.038,0.00195313,0.191325,-0.000372892,0.00859993,0.333443,5235.99,1,-0.0815904,0.40838,1.68869,1.68869,-0.171586,0.2,0,-0.00303525,1
0.058,0.00634766,0.220884,-0.00579233,0.00869673,0.333419,5235.99,1,1.25826,1.33881,1.96843,1.96843,-0.15154,0.6,0,-0.00302601,1
0.078,0.0129395,0.402767,-0.0134713,0.00884169,0.333378,5235.99,1,2.12832,0.582092,1.15197,1.15197,-0.13494,0.6,0,-0.00301224,1
0.098,0.0222168,0.539742,-0.00723672,0.00899189,0.333321,5235.99,1,1.36601,2.16605,2.1804,2.1804,-0.120834,0.6,0,-0.00299685,1
0.118,0.034668,0.678633,-0.014618,0.00913161,0.333261,5235.99,1,1.93589,1.80384,3.11763,3.11763,-0.109613,0.6,0,-0.00298114,1
0.138,0.0498047,0.836967,-0.0132569,0.00928372,0.333187,5235.99,1,2.76109,3.24837,2.5929,2.5929,-0.108639,0.6,0,-0.00296335,1
0.158,0.0681152,0.987703,-0.0208812,0.00945299,0.333103,5235.99,1,3.24203,3.10548,3.17993,3.17993,-0.0859007,0.6,0,-0.00294297,1
0.178,0.0893555,1.12666,-0.0167402,0.00961178,0.333011,5235.99,1,4.18946,3.76483,3.65068,3.65068,-0.0795652,0.6,0,-0.00292222,1
0.198,0.113525,1.26988,-0.0184838,0.00978154,0.332916,5235.99,1,4.29816,4.50424,4.32963,4.32963,-0.0619741,0.6,0,-0.00289962,1
0.218,0.140869,1.42193,-0.0158726,0.009916,0.332821,5235.99,1,4.13311,5.22768,4.84242,4.84242,-0.0616378,0.6,0,-0.00287863,1
0.238,0.170898,1.57775,-0.0159555,0.0101139,0.332719,5235.99,1,4.49649,5.0157,5.19754,5.19754,-0.0581693,0.6,0,-0.00285164,1
0.26,0.207275,1.72239,-0.0158815,0.0103733,0.332599,5235.99,1,6.16281,5.64239,5.82459,5.82459,-0.0521436,0.6,0,-0.00281716,1
0.28,0.243408,1.86557,-0.0156473,0.0105693,0.332484,5235.99,1,6.64559,6.48273,6.37057,6.37057,-0.0720106,0.6,0,-0.00278776,1
0.3,0.282471,2.0154,-0.0228723,0.0108573,0.332346,5235.99,1,6.86444,7.18152,6.81875,6.81875,-0.0982916,0.6,0,-0.00274952,1
0.32,0.324707,2.16907,-0.03322,0.0112926,0.33217,5235.99,1,6.92871,7.47773,7.24669,7.24669,-0.0988354,0.6,0,-0.00269754,1
0.34,0.369629,2.32136,-0.0362253,0.0117833,0.331967,5235.99,1,7.15309,7.56912,7.68883,7.68883,-0.07819,0.6,0,-0.00263908,1
0.36,0.41748,2.46909,-0.0308517,0.0122096,0.331765,5235.99,1,7.58883,7.77198,8.16129,8.16129,-0.0820388,0.6,0,-0.00258433,1
0.38,0.468262,2.61237,-0.0336883,0.0126745,0.331552,5235.99,1,8.23823,8.21978,8.66119,8.66119,-0.0792709,0.6,0,-0.00252464,1
0.4,0.521973,2.75324,-0.0342953,0.0131494,0.331323,5235.99,1,9.00367,8.90163,9.16832,9.16832,-0.0971252,0.6,0,-0.00246207,1
0.42,0.578613,2.89486,-0.0433719,0.0137522,0.331061,5235.99,1,9.66447,9.6646,9.67255,9.67255,-0.0804467,0.6,0,-0.00238635,1
0.44,0.638184,3.03953,-0.0387411,0.0142915,0.330789,5235.99,1,10.2616,10.2995,10.1617,10.1617,-0.0865806,0.6,0,-0.00231375,1
0.46,0.700684,3.18617,-0.0431394,0.0148932,0.330499,5235.99,1,10.7085,10.839,10.6463,10.6463,-0.0829817,0.6,0,-0.00223324,1
0.48,0.765869,3.33422,-0.0435697,0.0155022,0.330189,5235.99,1,11.0947,11.2626,11.1257,11.1257,-0.062792,0.6,0,-0.00214919,1
0.502,0.841309,3.50014,-0.0356911,0.0160472,0.329852,5235.99,1,11.3568,11.513,11.6442,11.6442,-0.0504097,0.6,0,-0.00206476,1
