Ep    0 | Time 0:08.03 | Steps   422 | Reward  19517.9 | Avg(10)  19517.9 | Buf   0.1% | Total     422 | End: off_track
Ep    1 | Time 0:26.22 | Steps  1285 | Reward 163456.6 | Avg(10)  91487.2 | Buf   0.3% | Total    1707 | End: off_track
Ep    2 | Time 1:15.69 | Steps  3679 | Reward 544397.3 | Avg(10) 242457.3 | Buf   1.1% | Total    5386 | End: too_slow
Ep    3 | Time 0:26.53 | Steps  1299 | Reward 163052.5 | Avg(10) 222606.1 | Buf   1.3% | Total    6685 | End: off_track
Ep    4 | Time 0:25.96 | Steps  1273 | Reward 163108.1 | Avg(10) 210706.5 | Buf   1.6% | Total    7958 | End: off_track
Ep    5 | Time 0:25.98 | Steps  1274 | Reward 163661.9 | Avg(10) 202865.7 | Buf   1.8% | Total    9232 | End: off_track
Ep    6 | Time 0:25.98 | Steps  1274 | Reward 163514.7 | Avg(10) 197244.2 | Buf   2.1% | Total   10506 | End: off_track
Ep    7 | Time 0:26.13 | Steps  1281 | Reward 162899.9 | Avg(10) 192951.1 | Buf   2.4% | Total   11787 | End: off_track
Ep    8 | Time 0:26.04 | Steps  1277 | Reward 163963.2 | Avg(10) 189730.2 | Buf   2.6% | Total   13064 | End: off_track
Ep    9 | Time 0:25.98 | Steps  1274 | Reward 163229.8 | Avg(10) 187080.2 | Buf   2.9% | Total   14338 | End: off_track
Ep   10 | Time 1:13.23 | Steps  3567 | Reward 544414.1 | Avg(10) 239569.8 | Buf   3.6% | Total   17905 | End: off_track
Ep   11 | Time 0:53.53 | Steps  2624 | Reward 344762.6 | Avg(10) 257700.4 | Buf   4.1% | Total   20529 | End: off_track
Ep   12 | Time 1:47.85 | Steps  5141 | Reward 630749.0 | Avg(10) 266335.6 | Buf   5.1% | Total   25670 | End: off_track
Ep   13 | Time 0:29.17 | Steps  1419 | Reward 170235.8 | Avg(10) 267053.9 | Buf   5.4% | Total   27089 | End: off_track
Ep   14 | Time 0:28.75 | Steps  1400 | Reward 161861.8 | Avg(10) 266929.3 | Buf   5.7% | Total   28489 | End: off_track
Ep   15 | Time 0:26.20 | Steps  1284 | Reward 162403.4 | Avg(10) 266803.4 | Buf   6.0% | Total   29773 | End: off_track
Ep   16 | Time 0:27.61 | Steps  1348 | Reward 160440.6 | Avg(10) 266496.0 | Buf   6.2% | Total   31121 | End: off_track
Ep   17 | Time 0:27.14 | Steps  1327 | Reward 161237.7 | Avg(10) 266329.8 | Buf   6.5% | Total   32448 | End: off_track
Ep   18 | Time 1:18.11 | Steps  3789 | Reward 532834.4 | Avg(10) 303216.9 | Buf   7.2% | Total   36237 | End: off_track
Ep   19 | Time 0:27.91 | Steps  1362 | Reward 159577.1 | Avg(10) 302851.7 | Buf   7.5% | Total   37599 | End: off_track
Ep   20 | Time 1:46.86 | Steps  5096 | Reward 641173.9 | Avg(10) 312527.6 | Buf   8.5% | Total   42695 | End: off_track
Ep   21 | Time 0:29.12 | Steps  1417 | Reward 165414.7 | Avg(10) 294592.8 | Buf   8.8% | Total   44112 | End: off_track
Ep   22 | Time 0:48.85 | Steps  2390 | Reward 267791.3 | Avg(10) 258297.1 | Buf   9.3% | Total   46502 | End: too_slow
Ep   23 | Time 0:28.68 | Steps  1397 | Reward 169412.5 | Avg(10) 258214.7 | Buf   9.6% | Total   47899 | End: off_track
Ep   24 | Time 1:15.12 | Steps  3653 | Reward 537982.1 | Avg(10) 295826.8 | Buf  10.3% | Total   51552 | End: off_track
Ep   25 | Time 0:28.20 | Steps  1375 | Reward 167024.6 | Avg(10) 296288.9 | Buf  10.6% | Total   52927 | End: off_track
Ep   26 | Time 1:13.45 | Steps  3577 | Reward 539798.3 | Avg(10) 334224.7 | Buf  11.3% | Total   56504 | End: off_track
Ep   27 | Time 0:32.37 | Steps  1566 | Reward 182382.1 | Avg(10) 336339.1 | Buf  11.6% | Total   58070 | End: off_track
Ep   28 | Time 2:10.32 | Steps  6173 | Reward 806208.3 | Avg(10) 363676.5 | Buf  12.8% | Total   64243 | End: finished
  [best] ep 28 reward 806208.3
Ep   29 | Time 1:14.00 | Steps  3602 | Reward 534846.5 | Avg(10) 401203.4 | Buf  13.6% | Total   67845 | End: off_track
Ep   30 | Time 0:27.91 | Steps  1362 | Reward 167570.1 | Avg(10) 353843.1 | Buf  13.8% | Total   69207 | End: off_track
Ep   31 | Time 0:27.83 | Steps  1358 | Reward 167808.6 | Avg(10) 354082.4 | Buf  14.1% | Total   70565 | End: off_track
Ep   32 | Time 1:45.76 | Steps  5046 | Reward 644053.0 | Avg(10) 391708.6 | Buf  15.1% | Total   75611 | End: off_track
Ep   33 | Time 1:15.27 | Steps  3660 | Reward 531087.5 | Avg(10) 427876.1 | Buf  15.9% | Total   79271 | End: off_track
Ep   34 | Time 1:50.60 | Steps  5266 | Reward 703618.7 | Avg(10) 444439.8 | Buf  16.9% | Total   84537 | End: off_track
Ep   35 | Time 0:57.45 | Steps  2820 | Reward 398377.7 | Avg(10) 467575.1 | Buf  17.5% | Total   87357 | End: too_slow
Ep   36 | Time 1:14.68 | Steps  3633 | Reward 539822.2 | Avg(10) 467577.5 | Buf  18.2% | Total   90990 | End: too_slow
Ep   37 | Time 1:43.78 | Steps  4956 | Reward 645852.9 | Avg(10) 513924.5 | Buf  19.2% | Total   95946 | End: off_track
Ep   38 | Time 0:27.63 | Steps  1349 | Reward 167662.1 | Avg(10) 450069.9 | Buf  19.5% | Total   97295 | End: off_track
Ep   39 | Time 0:27.58 | Steps  1347 | Reward 168382.6 | Avg(10) 413423.5 | Buf  19.7% | Total   98642 | End: off_track
